Game_Code,Drive_Num,Offense,Start_Qrt,Start_Time,Start_Spot,Start_Reason,Stop_Qrt,Stop_Time,Stop_Spot,Stop_Reason,Plays,Yards,Time_Of_Pos,Red_Zone_Att,Summary_Produced
0002025420140827,1,2,1,900,77,0,1,538,8,0,14,69,362,1,1
0002025420140827,2,254,1,538,86,0,1,376,19,INTERCEPTION,8,62,162,1,1
0002025420140827,3,2,1,376,67,0,1,255,62,0,3,6,121,0,1
0002025420140827,4,254,1,255,58,0,1,161,34,OFF_TOUCHDOWN,5,58,94,0,1
0002025420140827,5,2,1,161,71,0,1,29,72,0,3,5,132,0,1
0002025420140827,6,254,1,29,73,0,0,0,65,0,0,0,0,0,0
0002025420140827,7,254,2,900,62,0,2,691,2,OFF_TOUCHDOWN,12,74,209,1,1
0002025420140827,8,2,2,720,75,0,2,451,25,0,10,50,269,1,1
0002025420140827,9,254,2,451,81,0,2,314,71,0,4,10,137,0,1
0002025420140827,10,2,2,314,73,0,2,232,60,OFF_TOUCHDOWN,4,73,82,0,1
0002025420140827,11,254,2,232,73,0,2,170,58,FUMBLE,4,25,62,0,1
0002025420140827,12,2,2,170,52,0,2,71,6,0,5,36,99,1,1
0002025420140827,13,254,2,71,74,0,2,14,41,OFF_TOUCHDOWN,6,74,57,0,1
0002025420140827,14,2,2,14,65,0,2,0,65,0,1,1,14,0,1
0002025420140827,15,254,3,900,83,0,3,765,69,0,4,15,135,0,1
0002025420140827,16,2,3,765,71,0,3,681,65,0,3,6,84,0,1
0002025420140827,17,254,3,681,72,0,3,553,54,0,6,23,128,0,1
0002025420140827,18,2,3,553,80,0,3,387,23,OFF_TOUCHDOWN,6,80,166,0,1
0002025420140827,19,254,3,387,72,0,3,223,44,0,6,24,164,0,1
0002025420140827,20,2,3,223,71,0,3,101,24,OFF_TOUCHDOWN,6,71,122,0,1
0002025420140827,21,254,3,101,69,0,3,68,56,INTERCEPTION,2,13,33,0,1
0002025420140827,22,2,3,68,64,0,0,0,60,0,0,0,0,0,0
0002025420140827,23,2,4,900,64,0,4,662,32,INTERCEPTION,8,32,238,0,1
0002025420140827,24,254,4,730,44,0,4,642,27,OFF_TOUCHDOWN,4,44,88,0,1
0002025420140827,25,2,4,642,75,0,4,396,7,OFF_TOUCHDOWN,10,75,246,1,1
0002025420140827,26,254,4,396,77,0,4,271,9,OFF_TOUCHDOWN,9,77,125,1,1
0002025420140827,27,2,4,271,75,0,4,161,58,0,6,22,110,0,1
0002025420140827,28,254,4,161,81,0,4,0,9,0,13,72,161,1,1
0002025420140827,29,2,4,4,0,0,4,0,0,0,0,0,4,0,1
0002071620140913,1,716,1,900,77,0,1,744,65,0,6,12,156,0,1
0002071620140913,2,2,1,744,85,0,1,506,12,OFF_TOUCHDOWN,11,85,238,1,1
0002071620140913,3,716,1,506,75,0,1,413,57,0,4,26,93,0,1
0002071620140913,4,2,1,413,81,0,1,174,50,0,7,32,239,0,1
0002071620140913,5,716,1,174,90,0,1,46,5,OFF_TOUCHDOWN,8,90,128,1,1
0002071620140913,6,2,1,46,75,0,0,0,70,0,0,0,0,0,0
0002071620140913,7,2,2,900,56,0,2,701,38,0,7,36,199,0,1
0002071620140913,8,716,2,747,90,0,2,584,72,0,6,18,163,0,1
0002071620140913,9,2,2,584,65,0,2,469,69,0,3,5,115,0,1
0002071620140913,10,716,2,469,60,0,2,193,1,OFF_TOUCHDOWN,11,60,276,1,1
0002071620140913,11,2,2,193,85,0,2,121,89,INTERCEPTION,3,14,72,0,1
0002071620140913,12,716,2,121,11,0,2,99,12,OFF_TOUCHDOWN,3,11,22,1,1
0002071620140913,13,2,2,99,85,0,2,0,59,0,5,23,99,0,1
0002071620140913,14,2,3,900,77,0,3,745,3,OFF_TOUCHDOWN,8,77,155,1,1
0002071620140913,15,716,3,745,80,0,3,561,11,OFF_TOUCHDOWN,8,80,184,1,1
0002071620140913,16,2,3,561,75,0,3,486,63,OFF_TOUCHDOWN,3,75,75,0,1
0002071620140913,17,716,3,486,76,0,3,409,71,0,3,5,77,0,1
0002071620140913,18,2,3,409,65,0,3,251,57,INTERCEPTION,5,8,158,0,1
0002071620140913,19,716,3,251,68,0,3,152,69,0,3,4,99,0,1
0002071620140913,20,2,3,152,72,0,3,109,47,OFF_TOUCHDOWN,2,72,43,0,1
0002071620140913,21,716,3,109,90,0,0,0,78,0,0,0,0,0,0
0002071620140913,22,716,4,900,75,0,4,691,47,0,8,43,209,0,1
0002071620140913,23,2,4,800,92,0,4,370,13,0,13,82,430,1,1
0002071620140913,24,716,4,370,93,0,4,260,90,0,3,2,110,0,1
0002071620140913,25,2,4,260,36,0,4,77,9,OFF_TOUCHDOWN,6,36,183,1,1
0002071620140913,26,716,4,77,50,0,4,20,1,OFF_TOUCHDOWN,4,50,57,1,1
0002071620140913,27,2,4,20,56,0,4,0,58,0,2,4,20,0,1
0005004720141025,1,47,1,900,75,0,1,732,29,0,8,46,168,0,1
