Team Code,Game Code,Rush Att,Rush Yard,Rush TD,Pass Att,Pass Comp,Pass Yard,Pass TD,Pass Int,Pass Conv,Kickoff Ret,Kickoff Ret Yard,Kickoff Ret TD,Punt Ret,Punt Ret Yard,Punt Ret TD,Fum Ret,Fum Ret Yard,Fum Ret TD,Int Ret,Int Ret Yard,Int Ret TD,Misc Ret,Misc Ret Yard,Misc Ret TD,Field Goal Att,Field Goal Made,Off XP Kick Att,Off XP Kick Made,Off 2XP Att,Off 2XP Made,Def 2XP Att,Def 2XP Made,Safety,Points,Punt,Punt Yard,Kickoff,Kickoff Yard,Kickoff Touchback,Kickoff Out-Of-Bounds,Kickoff Onside,Fumble,Fumble Lost,Tackle Solo,Tackle Assist,Tackle For Loss,Tackle For Loss Yard,Sack,Sack Yard,QB Hurry,Fumble Forced,Pass Broken Up,Kick/Punt Blocked,1st Down Rush,1st Down Pass,1st Down Penalty,Time Of Possession,Penalty,Penalty Yard,Third Down Att,Third Down Conv,Fourth Down Att,Fourth Down Conv,Red Zone Att,Red Zone TD,Red Zone Field Goal,First Down Total,Date
67,0067040020140830,61,338,2,25,17,173,1,1,0,2,56,0,1,0,0,0,0,0,1,20,0,0,0,0,4,3,3,3,0,0,0,0,0,30,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42:11,7,55,17,9,3,2,0,0,0,27,20140830
400,0067040020140830,22,55,0,22,9,147,1,1,0,4,95,0,0,0,0,0,0,0,1,20,0,0,0,0,1,0,1,1,0,0,0,0,0,7,6,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17:49,4,23,11,3,1,0,0,0,0,9,20140830
2,0002025420140827,1,-1,0,40,30,403,4,1,0,3,47,0,0,0,0,1,0,0,2,12,0,0,0,0,3,3,4,4,0,0,0,0,0,37,4,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34:09,9,86,14,7,0,0,0,0,0,26,20140827
254,0002025420140827,33,153,1,49,31,413,4,2,0,8,149,0,2,34,0,0,0,0,1,28,0,0,0,0,1,1,5,5,0,0,0,0,0,38,4,151,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25:51,12,99,16,10,2,2,0,0,0,33,20140827
66,0066043320140828,37,135,0,48,36,264,1,4,0,6,135,0,1,-2,0,0,0,0,3,7,0,0,0,0,2,2,1,1,0,0,0,0,0,13,5,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35:40,9,72,15,5,2,1,0,0,0,26,20140828
433,0066043320140828,34,71,1,36,25,387,4,3,0,1,3,0,1,2,0,0,0,0,4,23,0,0,0,0,0,0,5,5,0,0,0,0,0,35,4,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23:45,14,78,13,5,2,1,0,0,0,22,20140828
27,0027041820140830,36,153,1,33,17,127,1,0,0,4,82,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,14,7,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29:52,8,69,17,5,3,2,0,0,0,17,20140830
418,0027041820140830,36,350,3,19,16,210,3,1,0,1,36,0,2,47,1,0,0,0,0,0,0,0,0,0,2,1,7,7,0,0,0,0,0,52,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30:08,4,44,8,5,0,0,0,0,0,24,20140830
31,0031003720140830,29,153,1,31,18,175,2,1,0,1,15,0,2,11,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,21,7,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27:17,4,40,11,2,1,0,0,0,0,20,20140830
37,0031003720140830,48,302,3,22,16,293,2,0,0,2,51,0,2,31,0,0,0,0,1,33,1,0,0,0,2,1,6,6,0,0,0,0,0,45,3,160,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32:43,7,71,14,9,0,0,0,0,0,27,20140830
71,0071077220140829,35,152,3,36,25,313,1,0,0,6,128,0,1,28,0,0,0,0,0,0,0,0,0,0,2,1,4,4,0,0,0,0,0,31,4,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24:01,11,90,11,4,1,0,0,0,0,26,20140829
772,0071077220140829,40,139,2,56,46,569,6,0,0,3,57,0,1,9,0,0,0,0,0,0,0,0,0,0,2,1,8,8,0,0,0,0,0,59,2,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35:59,7,66,18,14,0,0,0,0,0,40,20140829
