FIRST QUARTER,,TROY,UAB
,TD,13:31,"Jordan Chunn 1 Yd Run (Ryan Kay Kick)Drive info: 5 plays, 75 yds in 1:29",7,0
,TD,8:51,"Jordan Howard 2 Yd Run (Ty Long Kick)Drive info: 12 plays, 69 yds in 4:32",7,7
,TD,4:33,"Kennard Backman 3 Yd pass from Cody Clements (Ty Long Kick)Drive info: 6 plays, 42 yds in 0:49",7,14
,FG,0:38,"Ty Long 34 Yd Field Goal  Drive info: 10 plays, 38 yds in 3:03",7,17
SECOND QUARTER,,TROY,UAB
,TD,6:54,"Kennard Backman 18 Yd pass from Cody Clements (Ty Long Kick)Drive info: 7 plays, 81 yds in 2:26",7,24
,FG,0:00,"Ryan Kay 47 Yd Field Goal  Drive info: 7 plays, 11 yds in 1:25",10,24
THIRD QUARTER,,TROY,UAB
,TD,6:46,"Jordan Howard 55 Yd Run (Ty Long Kick)Drive info: 7 plays, 90 yds in 2:24",10,31
,TD,1:23,"Cody Clements 1 Yd Run (Ty Long Kick)Drive info: 8 plays, 34 yds in 3:33",10,38
FOURTH QUARTER,,TROY,UAB
,FG,11:15,"Ty Long 49 Yd Field Goal  Drive info: 8 plays, 40 yds in 4:05",10,41
,TD,5:52,"D.J. Vinson 3 Yd Run (Ty Long Kick)Drive info: 8 plays, 42 yds in 3:40",10,48
,,TROY,UAB
1st Downs,15,25
3rd down efficiency,5-16,9-14
4th down efficiency,1-3,0-0
Total Yards,272,490
Passing,201,152
Comp-Att,21-31,13-20
Yards per pass,6.5,7.6
Rushing,71,338
Rushing Attempts,36,55
Yards per rush,2.0,6.1
Penalties,5-55,3-35
Turnovers,1,2
Fumbles lost,1,1
Interceptions thrown,0,1
Possession,29:43,30:17
Troy Passing
,C/ATT,YDS,AVG,TD,INT,QBR
Brandon Silvers,17/24,162,6.8,0,0,41.0
Dontreal Pruitt,4/6,39,6.5,0,0,79.6
Team,21/31,201,6.5,0,0,--
UAB Passing
,C/ATT,YDS,AVG,TD,INT,QBR
Cody Clements,13/19,152,8.0,2,1,75.3
Jeremiah Briscoe,0/1,0,0.0,0,0,96.6
Team,13/20,152,7.6,2,1,--
Troy Rushing
,CAR,YDS,AVG,TD,LG
Brandon Burks,8,42,5.3,0,12
Dontreal Pruitt,4,18,4.5,0,11
Jordan Chunn,8,11,1.4,1,5
Khary Franklin,3,9,3.0,0,8
Tim Longmire,4,5,1.3,0,4
Brandon Silvers,9,-14,-1.6,0,10
Team,36,71,2.0,1,12
UAB Rushing
,CAR,YDS,AVG,TD,LG
Jordan Howard,19,179,9.4,2,55
D.J. Vinson,22,106,4.8,1,18
Cody Clements,9,37,4.1,1,10
"u""Ja'Won Arrington""",3,9,3.0,0,5
Jeremiah Briscoe,1,8,8.0,0,8
Jamarcus Nelson,1,-1,-1.0,0,0
Team,55,338,6.1,4,55
Troy Receiving
,REC,YDS,AVG,TD,LG
Chandler Worthy,2,46,23.0,0,41
K.D. Edenfield,2,35,17.5,0,25
Clark Quisenberry,1,27,27.0,0,27
Brandon Burks,5,23,4.6,0,7
B.J. Chitty,2,16,8.0,0,9
Bryan Holmes,3,15,5.0,0,5
Tim Longmire,1,12,12.0,0,12
Emanuel Thompson,1,12,12.0,0,12
Jordan Chunn,1,7,7.0,0,7
Brandon Brooks,1,7,7.0,0,7
Trey Page,1,4,4.0,0,4
Khary Franklin,1,-3,-3.0,0,0
Team,21,201,9.6,0,41
UAB Receiving
,REC,YDS,AVG,TD,LG
Jamarcus Nelson,2,65,32.5,0,53
Kennard Backman,4,43,10.8,2,20
Tristan Henderson,2,14,7.0,0,14
Maudrecus Humphrey,1,13,13.0,0,13
Nyiakki Height,1,7,7.0,0,7
Gerald Everett,1,6,6.0,0,6
D.J. Vinson,2,4,2.0,0,8
Team,13,152,11.7,2,53
Troy Interceptions
,INT,YDS,TD
Montres Kitchens,1,28,0
Team,1,28,0
UAB Interceptions
,INT,YDS,TD
No Interception Information
Troy Kick Returns
,NO,YDS,AVG,LG,TD
Chandler Worthy,1,32,32.0,32,0
Bryan Holmes,1,22,22.0,22,0
Team,2,54,27.0,32,0
UAB Kick Returns
,NO,YDS,AVG,LG,TD
Jamarcus Nelson,2,64,32.0,36,0
Team,2,64,32.0,36,0
Troy Punt Returns
,NO,YDS,AVG,LG,TD
Teddy Ruben,1,9,9.0,9,0
Bryan Holmes,1,2,2.0,2,0
Team,2,11,5.5,9,0
UAB Punt Returns
,NO,YDS,AVG,LG,TD
Jamarcus Nelson,2,14,7.0,21,0
Team,2,14,7.0,21,0
Troy Kicking
,FG,PCT,LG,XP,PTS
Ryan Kay,1/2,50.0,47,1/1,4
Team,1/2,50.0,47,1/1,4
UAB Kicking
,FG,PCT,LG,XP,PTS
Ty Long,2/2,100.0,49,6/6,12
Team,2/2,100.0,49,6/6,12
Troy Punting
,NO,YDS,AVG,TB,-20,LG
Ryan Kay,6,240,40.0,0,3,50
Team,6,240,40.0,0,3,50
UAB Punting
,NO,YDS,AVG,TB,-20,LG
Hunter Mullins,2,98,49.0,0,1,52
Team,2,98,49.0,0,1,52
