0002071620140913,,2,716
Abilene Christian Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:24,1,03:58,ACU 15,11,85,Touchdown
06:53,1,03:59,ACU 19,7,32,Punt
00:46,1,03:19,ACU 25,7,36,Punt
09:44,2,01:55,ACU 35,3,-5,Punt
03:13,2,01:12,ACU 25,3,-14,Interception
01:39,2,01:39,ACU 15,5,23,End of Half
15:00,3,02:35,ACU 23,8,77,Touchdown
09:21,3,01:15,ACU 25,3,75,Touchdown
06:49,3,02:38,ACU 35,5,8,Interception
02:32,3,00:43,ACU 28,2,72,Touchdown
13:20,4,07:10,ACU 8,13,82,Field Goal
04:20,4,03:03,TROY 36,6,36,Touchdown
00:20,4,00:20,ACU 44,2,-4,End of Game
Troy Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:36,TROY 23,6,12,Punt
08:26,1,01:33,TROY 25,4,26,Punt
02:54,1,02:08,TROY 10,8,90,Touchdown
12:27,2,02:43,TROY 10,6,18,Punt
07:49,2,04:36,TROY 40,11,60,Touchdown
02:01,2,00:22,ACU 11,3,11,Touchdown
12:25,3,03:04,TROY 20,8,80,Touchdown
08:06,3,01:17,TROY 24,3,5,Punt
04:11,3,01:39,TROY 32,3,4,Punt
01:49,3,03:29,TROY 10,8,43,Punt
06:10,4,01:50,TROY 7,3,-2,Punt
01:17,4,00:57,50,4,50,Touchdown
