0005004720141025,,5,47
Akron Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:12,1,03:37,AKR 35,10,65,Touchdown
07:51,1,04:48,AKR 32,10,68,Touchdown
01:37,1,03:01,AKR 22,6,14,Punt
06:57,2,02:59,AKR 33,6,67,Touchdown
02:20,2,01:34,AKR 25,3,8,Punt
00:00,2,00:00,AKR 29,0,0,
15:00,3,02:01,AKR 25,5,20,Punt
10:36,3,00:06,AKR 23,1,0,Interception
06:27,3,04:54,AKR 28,10,23,Interception
14:55,4,00:50,AKR 25,3,4,Punt
00:00,4,00:00,AKR 29,0,0,Fumble
11:45,4,03:05,AKR 25,7,26,Punt
06:55,4,01:22,AKR 25,3,-2,Interception
02:58,4,01:40,AKR 25,9,37,Interception
Ball State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:48,BALL 25,8,46,Field Goal
08:35,1,00:44,BALL 25,3,6,Punt
02:57,1,01:20,BALL 25,3,7,Punt
13:36,2,06:32,BALL 22,18,75,Field Goal
03:51,2,01:31,BALL 37,4,63,Touchdown
00:46,2,00:46,BALL 11,5,60,Missed FG
12:59,3,02:23,BALL 20,8,57,Missed FG
10:30,3,03:58,AKR 33,11,27,Field Goal
01:33,3,01:38,AKR 38,6,18,Field Goal
14:05,4,01:46,BALL 30,3,2,Punt
12:19,4,00:34,AKR 29,2,29,Touchdown
08:40,4,01:45,AKR 27,4,27,Touchdown
05:33,4,02:35,AKR 6,6,-3,Field Goal
01:18,4,01:18,AKR 34,2,-4,End of Game
