0006000920140913,,6,9
Alabama A&M Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:05,AAMU 25,7,27,Punt
10:46,1,01:59,AAMU 11,6,16,Punt
06:58,1,02:33,AAMU 16,9,71,Interception
03:06,1,00:00,UAB 0,0,0,Touchdown
02:03,1,01:24,AAMU 26,3,3,Punt
14:16,2,00:35,AAMU 40,2,60,Touchdown
11:47,2,02:20,AAMU 5,7,42,Interception
07:55,2,00:45,AAMU 13,3,1,Punt
06:27,2,01:32,AAMU 25,3,-14,Punt
01:02,2,00:48,AAMU 25,3,0,Punt
12:38,3,03:18,AAMU 12,6,18,Punt
08:03,3,01:39,AAMU 25,5,34,Downs
04:47,3,02:37,AAMU 25,6,30,Interception
15:00,4,03:46,AAMU 10,8,21,Punt
09:31,4,01:51,AAMU 16,5,20,Punt
03:11,4,03:11,AAMU 9,5,28,End of Game
UAB Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:55,1,02:09,AAMU 47,6,3,Punt
08:47,1,01:49,UAB 46,3,1,Punt
04:25,1,01:19,UAB 17,3,3,Punt
03:06,1,01:03,UAB 25,3,1,Punt
00:39,1,01:23,UAB 37,3,1,Punt
13:41,2,01:45,UAB 25,7,75,Touchdown
09:27,2,01:32,AAMU 22,4,9,Downs
07:10,2,00:43,50,3,50,Touchdown
04:55,2,03:53,UAB 34,13,66,Touchdown
00:14,2,00:14,UAB 23,3,30,End of Half
14:52,3,02:07,UAB 37,10,63,Touchdown
09:20,3,01:10,UAB 40,4,60,Touchdown
06:24,3,01:37,UAB 41,5,59,Touchdown
02:10,3,02:10,UAB 32,6,40,Interception
11:14,4,01:43,UAB 32,3,6,Punt
07:40,4,04:29,UAB 39,7,52,Downs
