0008036520141108,,8,365
Alabama Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:28,ALA 24,7,28,Punt
09:21,1,00:46,ALA 25,3,8,Punt
06:50,1,00:40,ALA 11,3,2,Punt
02:07,1,01:26,ALA 25,3,0,Punt
14:46,2,05:47,ALA 20,17,70,Missed FG
07:27,2,01:47,ALA 49,7,51,Touchdown
02:26,2,01:05,ALA 12,3,0,Fumble
01:03,2,00:54,LSU 29,4,7,Field Goal
09:20,3,01:22,ALA 35,3,9,Punt
00:18,3,01:14,ALA 20,3,6,Punt
06:57,4,01:47,ALA 10,5,18,Punt
03:38,4,00:58,ALA 24,3,2,Punt
01:56,4,00:43,ALA 1,2,8,Fumble
00:50,4,00:50,ALA 35,9,55,Downs
00:00,OT,00:00,LSU 25,6,25,Touchdown
LSU Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:32,1,03:11,LSU 20,6,6,Punt
08:35,1,01:45,LSU 25,5,24,Punt
06:10,1,04:03,ALA 41,7,41,Touchdown
00:41,1,00:55,LSU 30,3,8,Punt
08:59,2,01:32,LSU 20,3,-1,Punt
05:40,2,03:14,LSU 34,6,17,Punt
01:21,2,00:18,LSU 31,3,11,Interception
00:09,2,00:09,LSU 19,1,-1,End of Half
15:00,3,05:40,LSU 25,12,57,Field Goal
07:58,3,07:40,LSU 11,13,40,Punt
14:04,4,07:07,LSU 8,11,40,Punt
05:10,4,01:32,LSU 33,3,6,Punt
02:40,4,00:44,LSU 35,3,7,Punt
01:13,4,00:23,ALA 6,4,-16,Field Goal
00:03,4,00:00,LSU 20,1,0,End of Game
00:00,OT,00:00,LSU 3,4,0,
