0009077220141004,,9,772
UAB Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,00:13,WKU 0,0,0,Touchdown
11:04,1,01:22,UAB 26,6,36,Fumble
06:42,1,04:02,UAB 20,13,80,Touchdown
02:22,1,01:55,UAB 33,5,24,Punt
10:16,2,02:21,UAB 20,5,19,Punt
06:24,2,06:18,UAB 28,14,41,Missed FG
12:57,3,02:02,UAB 40,6,60,Touchdown
09:43,3,01:27,WKU 34,5,34,Touchdown
06:49,3,00:57,UAB 25,2,75,Touchdown
02:47,3,02:47,UAB 26,8,52,Interception
12:17,4,00:00,UAB 14,6,86,Touchdown
11:19,4,05:35,UAB 17,11,75,Fumble
04:03,4,04:03,UAB 33,9,19,End of Game
Western Kentucky Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
14:41,1,03:31,WKU 28,8,72,Touchdown
09:42,1,02:52,WKU 38,7,62,Touchdown
02:40,1,00:11,WKU 25,1,75,Touchdown
00:27,1,05:11,WKU 2,15,88,Missed FG
07:55,2,01:25,WKU 22,4,78,Touchdown
00:06,2,00:06,WKU 31,1,0,End of Half
14:55,3,01:58,WKU 23,3,4,Punt
10:55,3,01:12,WKU 25,4,9,Downs
08:09,3,01:20,WKU 40,3,-4,Punt
05:52,3,02:57,WKU 25,8,75,Touchdown
15:00,4,00:00,UAB 0,0,0,Touchdown
12:17,4,00:58,WKU 25,4,17,Punt
05:44,4,01:41,WKU 45,8,22,Downs
