0017066420140906,,17,664
Alcorn State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
11:54,1,04:36,ALCN 15,10,77,Fumble
04:24,1,01:31,ALCN 23,3,6,Punt
13:40,2,02:41,ALCN 9,5,25,Punt
07:23,2,01:20,ALCN 25,3,4,Interception
05:54,2,01:37,ALCN 25,4,75,Touchdown
00:09,2,00:09,ALCN 12,1,-3,End of Half
15:00,3,02:37,ALCN 25,5,27,Punt
00:00,3,00:00,ALCN 25,0,1,Fumble
09:39,3,02:55,ALCN 45,5,12,Punt
03:16,3,05:02,ALCN 26,12,74,Touchdown
09:10,4,01:38,ALCN 23,5,77,Touchdown
03:59,4,02:30,ALCN 20,5,34,Downs
01:02,4,00:05,ALCN 20,1,0,Interception
Southern Mississippi Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,03:06,USM 25,6,15,Punt
07:18,1,02:54,USM 8,8,59,Field Goal
02:53,1,04:13,USM 19,11,72,Downs
10:59,2,03:36,USM 34,8,66,Touchdown
06:03,2,00:09,ALCN 38,1,38,Touchdown
04:17,2,04:08,USM 27,8,51,Field Goal
12:23,3,00:31,USM 20,3,9,Punt
11:52,3,02:13,ALCN 26,6,20,Field Goal
06:44,3,03:28,USM 24,8,50,Missed FG
13:14,4,04:04,USM 15,10,61,Field Goal
07:32,4,03:33,USM 25,6,21,Punt
01:29,4,00:27,USM 46,3,4,Punt
00:57,4,00:57,ALCN 32,2,-2,End of Game
