0027041820140830,,27,418
Appalachian State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:28,APP 25,3,6,Punt
08:48,1,03:48,APP 25,7,30,Punt
01:52,1,01:35,APP 25,3,5,Punt
12:19,2,02:21,APP 10,3,-7,Punt
07:23,2,01:24,APP 31,3,9,Punt
03:59,2,01:42,APP 12,4,20,Punt
01:26,2,00:38,APP 28,3,1,Punt
00:48,2,00:48,APP 19,2,10,End of Half
11:36,3,04:24,APP 25,11,75,Touchdown
04:27,3,01:35,APP 27,3,1,Punt
00:46,3,06:41,APP 4,19,96,Touchdown
03:42,4,03:28,APP 25,8,28,Downs
Michigan Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:32,1,04:44,MICH 37,9,63,Touchdown
05:00,1,03:08,MICH 22,6,78,Touchdown
00:17,1,02:58,MICH 27,5,17,Punt
09:58,2,02:35,MICH 44,6,25,Missed FG
05:59,2,02:00,MICH 18,3,82,Touchdown
02:17,2,00:51,MICH 27,2,73,Touchdown
00:48,2,00:00,APP 32,0,0,TOUCHDOWN
15:00,3,03:24,MICH 25,6,75,Touchdown
07:12,3,02:45,APP 44,5,44,Touchdown
02:52,3,02:06,MICH 39,4,39,Interception
09:05,4,05:23,MICH 36,10,63,Field Goal
00:14,4,00:14,MICH 47,1,5,END OF HALF
