0028002920141128,,28,29
Arizona State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,00:44,ASU 25,3,0,Fumble
14:16,1,03:10,ASU 25,6,30,Punt
09:22,1,02:27,ARIZ 28,7,26,Downs
05:01,1,03:13,ASU 25,7,27,Punt
00:07,1,03:13,ASU 25,9,75,Touchdown
08:14,2,02:28,ASU 10,5,13,Punt
03:41,2,02:26,ASU 25,4,13,Fumble
01:15,2,00:51,ARIZ 12,3,12,Touchdown
12:22,3,03:04,ASU 25,8,47,Missed FG
09:06,3,03:22,ASU 17,6,30,Punt
03:30,3,02:47,ASU 13,6,11,Punt
13:36,4,02:13,ASU 35,6,65,Touchdown
09:51,4,00:38,ASU 8,2,1,Interception
08:31,4,03:29,ASU 22,8,78,Touchdown
02:56,4,01:49,ASU 43,8,17,Downs
Arizona Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
11:06,1,01:44,ARIZ 18,3,-15,Punt
06:55,1,00:59,ARIZ 2,4,0,Fumble
05:56,1,00:55,ARIZ 25,3,75,Touchdown
01:48,1,01:41,ARIZ 2,5,15,Punt
11:54,2,03:40,ARIZ 30,6,25,Punt
05:46,2,02:05,ASU 30,4,30,Touchdown
00:24,2,00:24,ARIZ 24,1,-1,End of Half
15:00,3,02:38,ARIZ 25,9,75,Touchdown
09:18,3,00:12,ARIZ 28,1,72,Touchdown
05:44,3,02:14,ARIZ 18,6,6,Punt
00:43,3,02:07,ARIZ 26,3,-4,Punt
11:23,4,01:32,ARIZ 25,4,20,Punt
09:13,4,00:42,ASU 16,2,16,Touchdown
05:02,4,02:06,ARIZ 25,3,5,Punt
01:07,4,01:07,ARIZ 40,3,-15,End of Game
