0029052920141205,,29,529
Arizona Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
07:55,1,02:29,ARIZ 41,7,22,Punt
02:33,1,01:26,ARIZ 25,3,5,Punt
14:47,2,01:30,ARIZ 17,3,9,Punt
10:10,2,01:33,ARIZ 20,3,-10,Punt
07:27,2,01:04,ARIZ 25,3,2,Punt
04:57,2,01:12,ARIZ 40,3,-15,Punt
01:34,2,00:27,ARIZ 21,3,7,Punt
15:00,3,02:23,ARIZ 28,7,19,Downs
10:37,3,01:03,ARIZ 30,2,70,Touchdown
07:59,3,01:25,ARIZ 22,5,14,Interception
04:54,3,00:28,ARIZ 26,3,0,Punt
02:20,3,02:30,ARIZ 20,4,35,Punt
13:45,4,03:26,ARIZ 36,9,28,Downs
04:12,4,01:45,ARIZ 41,5,8,Punt
00:07,4,00:07,ORE 25,1,25,End of Game
Oregon Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,03:30,ORE 20,10,64,Fumble
11:30,1,03:35,ARIZ 37,10,32,Field Goal
05:26,1,02:53,ORE 20,8,55,Downs
01:07,1,01:20,ORE 44,3,-5,Punt
13:17,2,03:07,ARIZ 49,9,39,Missed FG
08:37,2,01:10,ARIZ 39,5,39,Touchdown
06:23,2,01:26,ORE 39,3,-14,Punt
03:45,2,02:11,ORE 21,6,79,Touchdown
01:07,2,01:07,ORE 23,7,63,End of Half
12:37,3,02:00,ARIZ 47,6,47,Touchdown
09:34,3,01:35,ORE 32,4,68,Touchdown
06:34,3,01:40,ARIZ 23,5,23,Touchdown
04:26,3,02:06,ORE 20,6,32,Punt
14:50,4,01:05,ORE 14,3,8,Punt
10:19,4,06:07,ORE 36,10,64,Touchdown
02:27,4,02:20,ORE 8,3,1,Punt
