0030041520140913,,30,415
Arkansas State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:47,ARST 30,5,-4,Fumble
11:52,1,02:49,ARST 35,11,65,Touchdown
08:21,1,02:22,ARST 25,6,8,Punt
03:12,1,02:52,ARST 37,10,46,Missed FG
14:21,2,01:26,MIA 29,4,4,Missed FG
10:52,2,01:46,ARST 25,5,21,Punt
07:21,2,02:26,ARST 40,7,19,Interception
01:16,2,00:53,ARST 40,3,60,Touchdown
15:00,3,01:10,ARST 47,4,13,Punt
12:21,3,02:37,ARST 41,8,19,Fumble
08:32,3,01:25,ARST 10,3,6,Punt
04:11,3,02:28,ARST 24,4,-4,Punt
00:53,3,05:54,ARST 11,16,89,Touchdown
06:28,4,01:27,ARST 43,5,15,Downs
Miami (FL) Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:13,1,01:21,MIA 33,2,67,Touchdown
09:03,1,00:42,MIA 30,3,70,Touchdown
05:59,1,02:47,MIA 34,6,66,Touchdown
00:20,1,00:59,MIA 20,3,8,Fumble
12:55,2,02:03,MIA 25,3,7,Punt
09:06,2,01:45,MIA 10,3,-4,Punt
04:55,2,03:39,MIA 31,7,69,Touchdown
00:23,2,00:23,MIA 28,1,-1,End of Half
13:50,3,01:29,MIA 5,3,6,Punt
09:44,3,01:12,MIA 40,3,60,Touchdown
07:07,3,02:56,MIA 35,9,65,Touchdown
01:43,3,00:50,ARST 41,3,-5,Punt
09:59,4,03:31,MIA 8,6,40,Interception
05:01,4,05:01,MIA 42,8,30,End of Game
