0031043020141101,,31,430
Arkansas Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,05:10,ARK 21,11,60,Field Goal
09:11,1,03:04,ARK 36,5,32,Punt
04:42,1,01:38,ARK 46,3,9,Punt
00:50,1,01:11,ARK 7,3,4,Fumble
14:39,2,03:38,MSST 25,6,25,Touchdown
07:30,2,04:08,ARK 27,8,23,Punt
00:34,2,00:25,MSST 42,3,-3,Punt
11:08,3,05:05,ARK 22,9,18,Punt
03:35,3,03:57,ARK 20,9,55,Missed FG
13:21,4,08:16,ARK 25,17,72,Downs
02:29,4,02:14,ARK 18,10,66,Interception
Mississippi State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
09:50,1,00:39,MSST 25,3,21,Interception
06:07,1,01:25,MSST 8,3,-1,Punt
03:04,1,02:14,MSST 9,5,55,Punt
11:01,2,03:31,MSST 25,11,75,Touchdown
03:22,2,02:48,MSST 9,10,54,Interception
00:09,2,00:09,MSST 8,1,-2,End of Half
15:00,3,03:52,MSST 28,11,50,Downs
06:03,3,02:28,MSST 25,8,55,Field Goal
14:38,4,01:17,MSST 25,3,75,Touchdown
05:05,4,02:36,MSST 3,7,44,Punt
00:15,4,00:15,MSST 20,1,-12,End of Game
