0037043020141011,,37,430
Auburn Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:40,1,00:09,AUB 40,1,0,Interception
12:41,1,00:08,AUB 25,1,7,FUMBLE
11:24,1,02:57,AUB 15,6,11,PUNT
06:01,1,02:51,AUB 22,9,67,MISSED FG
01:34,1,01:37,MSST 36,5,32,Field Goal
14:21,2,03:04,MSST 46,8,41,Field Goal
07:41,2,01:21,AUB 20,4,13,Fumble
06:20,2,00:54,MSST 22,4,22,Touchdown
03:50,2,01:15,AUB 36,3,7,PUNT
15:00,3,02:29,AUB 25,3,-9,Punt
10:04,3,03:55,AUB 1,10,99,Touchdown
04:36,3,01:52,AUB 20,6,27,Punt
00:44,3,00:50,AUB 36,3,5,Punt
11:33,4,00:11,AUB 15,0,0,FUMBLE
11:07,4,03:24,AUB 25,10,50,Field Goal
Mississippi State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:20,MSST 25,3,6,Punt
13:31,1,00:50,AUB 33,3,33,Touchdown
12:33,1,01:03,AUB 32,4,32,Touchdown
08:33,1,02:24,MSST 29,7,71,Touchdown
03:18,1,01:44,MSST 20,4,8,Interception
14:57,2,00:36,MSST 25,2,7,Interception
11:17,2,03:36,MSST 25,9,62,Interception
05:26,2,01:28,MSST 25,8,75,Touchdown
02:43,2,02:43,MSST 15,4,22,End of Half
12:31,3,02:27,MSST 34,6,26,Punt
06:09,3,01:33,MSST 25,4,18,Punt
02:44,3,02:00,MSST 14,5,8,Punt
14:54,4,03:21,MSST 22,10,75,Fumble
11:33,4,00:26,AUB 15,2,15,Touchdown
07:43,4,02:47,MSST 22,4,4,Punt
