0043040420140830,,43,404
Austin Peay Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:11,1,01:04,PEAY 25,4,16,Interception
09:13,1,02:09,PEAY 11,3,4,Punt
03:43,1,01:23,PEAY 19,3,0,Punt
01:58,1,02:34,PEAY 2,6,22,Fumble
12:45,2,01:23,PEAY 25,3,-2,Punt
09:17,2,00:54,PEAY 25,3,-10,Punt
04:34,2,02:15,PEAY 25,4,15,Punt
00:00,2,00:00,PEAY 20,0,0,
15:00,3,02:06,PEAY 16,5,48,Punt
09:34,3,01:50,PEAY 23,3,2,Punt
07:39,3,03:06,PEAY 25,5,19,Punt
02:36,3,02:36,PEAY 26,5,30,Punt
10:19,4,02:09,PEAY 3,3,5,Punt
05:53,4,02:04,PEAY 25,3,-4,Punt
Memphis Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:49,MEM 40,9,60,Touchdown
11:07,1,01:47,PEAY 15,4,15,Touchdown
07:04,1,03:21,MEM 44,9,56,Touchdown
02:20,1,00:22,PEAY 45,2,15,Interception
14:24,2,01:39,PEAY 24,5,24,Touchdown
11:22,2,02:05,MEM 34,7,66,Touchdown
08:23,2,03:49,MEM 31,10,69,Touchdown
02:19,2,02:19,MEM 39,5,14,Punt
12:54,3,03:13,MEM 19,9,81,Touchdown
07:44,3,00:05,PEAY 8,1,8,Touchdown
04:33,3,01:57,MEM 12,3,9,Punt
15:00,4,04:41,MEM 15,8,82,Fumble
08:10,4,02:17,PEAY 41,4,41,Touchdown
03:49,4,03:49,PEAY 46,6,10,End of Game
