0047031220140906,,47,312
Ball State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:41,1,04:06,BALL 28,10,36,Missed FG
06:13,1,01:50,BALL 6,3,5,Punt
01:47,1,02:36,BALL 20,8,19,Punt
11:23,2,01:25,BALL 25,3,2,Punt
07:14,2,02:40,BALL 7,6,21,Punt
00:07,2,00:07,BALL 20,1,-2,End of Half
15:00,3,04:30,BALL 25,11,50,Fumble
10:37,3,01:54,IOWA 23,5,13,Field Goal
03:37,3,03:24,BALL 20,6,20,Punt
13:47,4,03:57,BALL 23,8,34,Punt
07:17,4,01:27,BALL 20,3,7,Punt
02:52,4,00:29,BALL 25,3,0,Punt
01:00,4,00:35,BALL 25,2,4,Fumble
Iowa Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:19,IOWA 28,3,6,Punt
09:35,1,03:22,IOWA 36,7,26,Punt
04:23,1,02:36,BALL 46,6,29,Missed FG
14:11,2,01:03,IOWA 23,3,12,Fumble
13:08,2,01:45,IOWA 25,6,67,Field Goal
09:58,2,02:44,IOWA 29,6,16,Punt
04:34,2,04:27,IOWA 24,12,57,Missed FG
08:43,3,05:06,IOWA 30,11,59,Missed FG
00:13,3,01:26,IOWA 27,6,21,Punt
09:50,4,02:33,IOWA 2,11,41,Punt
05:50,4,02:58,IOWA 31,10,69,Touchdown
02:23,4,01:23,IOWA 41,6,59,Touchdown
00:25,4,00:25,BALL 29,1,-2,End of Game
