0048025720141122,,48,257
Charleston Southern Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:44,CHSO 25,3,10,Fumble
13:08,1,01:54,CHSO 25,4,22,Punt
10:33,1,03:41,CHSO 25,6,2,Punt
05:18,1,02:23,CHSO 25,3,-2,Punt
00:42,1,01:38,CHSO 25,3,3,Punt
09:08,2,01:36,CHSO 25,3,0,Punt
04:44,2,00:18,CHSO 32,2,0,Interception
04:18,2,04:11,CHSO 25,12,47,Field Goal
11:31,3,03:45,CHSO 22,7,18,Downs
04:58,3,01:57,CHSO 34,3,4,Punt
00:59,3,01:54,CHSO 25,3,5,Fumble
12:58,4,03:03,CHSO 29,6,71,Touchdown
04:18,4,04:18,CHSO 10,8,41,End of Game
Georgia Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:16,1,00:08,CHSO 35,1,35,Touchdown
11:14,1,00:41,UGA 15,2,85,Touchdown
06:52,1,01:34,UGA 39,5,61,Touchdown
02:55,1,02:13,UGA 36,5,28,Field Goal
14:04,2,04:56,UGA 23,12,77,Touchdown
07:32,2,02:48,UGA 32,5,37,Missed FG
04:26,2,00:08,CHSO 23,1,23,Touchdown
00:07,2,00:07,UGA 21,1,-1,End of Half
15:00,3,03:29,UGA 26,9,74,Touchdown
07:46,3,02:48,CHSO 40,7,30,Field Goal
03:01,3,02:02,UGA 26,5,74,Touchdown
14:05,4,01:07,UGA 45,3,15,Interception
09:55,4,05:37,UGA 30,10,61,Fumble
