0051070020141129,,51,700
Baylor Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:26,1,02:15,BAY 22,6,24,Punt
09:25,1,01:08,BAY 36,3,7,Punt
06:22,1,01:32,BAY 26,6,19,Downs
04:34,1,01:50,BAY 41,6,59,Touchdown
01:56,1,02:20,BAY 19,9,34,Fumble
13:12,2,01:22,BAY 43,4,57,Touchdown
08:21,2,00:23,TTU 47,2,47,Touchdown
06:32,2,02:22,BAY 19,6,81,Touchdown
00:34,2,00:34,BAY 33,1,-2,End of Half
15:00,3,01:59,BAY 22,5,10,Punt
12:55,3,03:23,TTU 32,9,32,Touchdown
08:43,3,01:59,BAY 30,7,70,Touchdown
03:44,3,01:26,BAY 22,5,57,Field Goal
01:38,3,02:24,BAY 39,6,21,Punt
11:39,4,02:21,BAY 25,7,24,Punt
08:13,4,04:29,BAY 25,13,56,Field Goal
01:42,4,01:42,TTU 40,3,8,End of Game
Texas Tech Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:34,TTU 25,6,24,Punt
11:11,1,01:46,TTU 10,3,-5,Punt
08:17,1,01:55,TTU 12,5,62,Fumble
04:50,1,00:16,BAY 45,2,4,Fumble
02:44,1,00:48,TTU 21,4,60,Fumble
14:36,2,01:24,TTU 47,5,53,Touchdown
11:50,2,03:29,TTU 19,11,58,Field Goal
07:58,2,01:26,TTU 29,6,71,Touchdown
04:10,2,03:36,TTU 21,11,46,Missed FG
13:01,3,00:06,TTU 20,1,0,Interception
09:32,3,00:49,TTU 25,3,-1,Punt
06:44,3,03:00,TTU 21,9,71,Field Goal
02:18,3,00:40,TTU 32,3,68,Touchdown
14:14,4,02:35,TTU 20,8,80,Touchdown
09:18,4,01:05,TTU 15,4,85,Touchdown
03:44,4,02:02,TTU 27,5,73,Touchdown
