0061012820140920,,61,128
Bethune-Cookman Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,03:16,COOK 6,4,17,Punt
09:53,1,02:10,COOK 11,3,-8,Punt
05:26,1,03:46,COOK 24,8,76,Touchdown
14:58,2,01:07,COOK 20,3,6,Punt
11:57,2,01:43,UCF 31,4,4,Missed FG
09:37,2,01:20,COOK 25,3,-12,Punt
06:19,2,03:07,COOK 36,3,-16,Punt
01:41,2,01:41,COOK 37,6,18,End of Half
13:28,3,02:18,COOK 21,3,5,Punt
05:29,3,08:14,COOK 22,13,37,Punt
05:09,4,00:00,COOK 25,0,0,
UCF Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
11:44,1,01:51,UCF 48,4,12,Punt
07:43,1,02:17,COOK 27,4,7,Field Goal
01:40,1,01:42,UCF 35,7,30,Punt
13:51,2,01:54,UCF 49,4,51,Touchdown
10:14,2,00:37,UCF 27,2,73,Touchdown
08:17,2,01:58,COOK 36,5,16,Field Goal
03:12,2,01:31,UCF 42,3,5,Punt
15:00,3,01:32,COOK 39,4,39,Touchdown
11:10,3,05:41,50,10,50,Touchdown
12:15,4,07:06,UCF 12,13,88,Touchdown
