0066072120140927,,66,721
Boise State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:14,1,01:29,BSU 35,4,8,Interception
08:33,1,00:09,BSU 3,1,7,Fumble
07:21,1,02:59,BSU 18,10,29,Punt
02:58,1,00:07,AFA 15,1,0,Interception
00:08,1,02:21,BSU 36,7,34,Downs
08:19,2,03:24,BSU 25,7,29,Punt
03:32,2,01:44,BSU 30,6,14,Punt
14:56,3,01:42,BSU 18,4,6,Interception
11:32,3,01:08,BSU 20,3,38,Fumble
08:44,3,01:55,BSU 20,7,51,Missed FG
05:06,3,01:14,BSU 1,5,59,Interception
01:40,3,03:36,BSU 23,12,58,Downs
11:28,4,01:33,BSU 31,6,69,Touchdown
07:50,4,01:29,AFA 39,5,39,Touchdown
04:32,4,01:44,BSU 42,6,7,Downs
02:40,4,01:02,BSU 34,4,-4,Interception
Air Force Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:46,AFA 25,3,7,Punt
11:45,1,03:12,AFA 37,6,15,Punt
08:24,1,00:58,BSU 10,3,10,Touchdown
04:22,1,01:24,AFA 3,3,5,Punt
02:51,1,02:43,AFA 5,4,10,Punt
12:47,2,04:28,AFA 30,10,70,Touchdown
04:55,2,01:23,AFA 12,3,9,Punt
01:48,2,01:48,AFA 14,10,78,Field Goal
13:14,3,01:42,BSU 36,3,0,Punt
10:24,3,01:40,AFA 42,3,9,Punt
06:49,3,01:43,AFA 36,3,7,Punt
03:52,3,02:05,BSU 9,4,6,Field Goal
13:04,4,01:29,AFA 19,5,81,Touchdown
09:55,4,02:05,AFA 25,4,14,Fumble
06:21,4,01:49,AFA 25,3,2,Punt
02:48,4,00:08,BSU 49,1,15,Fumble
01:38,4,01:38,BSU 49,6,22,End of Game
