0067023420141122,,67,234
Boston College Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
08:36,1,08:22,BC 27,14,50,Field Goal
10:39,2,01:28,BC 25,3,8,Punt
08:16,2,02:47,BC 33,5,67,Touchdown
03:02,2,02:55,BC 25,6,34,Punt
15:00,3,03:17,BC 25,6,15,Punt
09:17,3,03:05,BC 37,7,63,Touchdown
03:36,3,02:58,BC 23,5,9,Punt
13:29,4,08:52,BC 8,17,67,Missed FG
00:03,4,00:03,BC 25,1,0,End of Game
Florida State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,06:24,FSU 25,14,75,Touchdown
00:14,1,04:35,FSU 25,11,56,Field Goal
09:11,2,00:55,FSU 31,3,26,Interception
05:29,2,02:27,FSU 25,7,75,Touchdown
00:07,2,00:07,FSU 18,1,-3,End of Half
11:43,3,02:26,FSU 8,3,8,Punt
06:12,3,02:36,FSU 25,8,52,Missed FG
00:38,3,02:09,FSU 32,5,16,Punt
04:37,4,04:34,FSU 26,12,66,Field Goal
