0071000520141104,,71,5
Bowling Green Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:22,BGSU 17,3,8,Punt
11:34,1,01:19,BGSU 12,7,31,Downs
07:35,1,03:37,BGSU 34,9,54,Field Goal
02:22,1,01:21,BGSU 20,3,1,Punt
14:54,2,01:13,BGSU 40,4,5,Punt
13:09,2,01:08,BGSU 34,4,23,Fumble
10:39,2,02:18,BGSU 20,8,45,Field Goal
05:41,2,01:56,BGSU 12,8,44,Downs
02:41,2,02:05,BGSU 10,3,-2,Punt
14:09,3,02:16,BGSU 40,5,6,Punt
10:21,3,00:52,BGSU 43,3,4,Punt
08:45,3,03:51,BGSU 38,11,62,Touchdown
02:28,3,01:10,BGSU 23,3,3,Punt
13:56,4,02:46,BGSU 46,3,2,Punt
09:07,4,02:43,BGSU 25,4,1,Punt
04:53,4,02:15,BGSU 14,6,86,Touchdown
01:06,4,01:06,BGSU 32,2,-3,End of Game
Akron Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:38,1,02:04,AKR 48,3,1,Punt
10:07,1,02:32,AKR 34,8,33,Missed FG
03:58,1,01:36,AKR 33,4,20,Punt
01:01,1,01:07,AKR 36,5,40,Field Goal
13:41,2,00:32,AKR 33,3,0,Punt
12:01,2,01:22,AKR 43,7,40,Interception
08:21,2,02:40,AKR 25,6,18,Punt
03:45,2,01:04,AKR 44,3,3,Fumble
00:36,2,00:36,AKR 36,4,21,End of Half
15:00,3,00:51,AKR 25,3,2,Punt
11:53,3,01:32,AKR 23,3,5,Punt
09:29,3,00:00,AKR 9,1,-7,Fumble
09:29,3,00:44,AKR 26,2,10,Interception
04:54,3,02:26,AKR 25,11,52,Missed FG
01:18,3,02:22,AKR 25,8,29,Fumble
11:10,4,02:03,AKR 16,7,84,Touchdown
06:24,4,01:31,AKR 37,5,12,Interception
02:38,4,01:32,AKR 37,10,31,Downs
