0077006620141024,,77,66
BYU Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:21,1,01:14,BYU 16,3,4,Punt
05:33,1,01:21,BYU 25,3,-1,Punt
14:56,2,00:49,BYU 19,3,-1,Punt
13:31,2,04:19,BYU 35,13,65,Touchdown
08:05,2,00:18,BYU 19,1,81,Touchdown
03:39,2,01:51,BYU 28,4,21,Punt
01:26,2,00:32,BYU 16,3,-1,Interception
00:42,2,00:42,BYU 18,1,5,End of Half
15:00,3,02:32,BYU 25,5,12,Punt
09:43,3,01:08,BYU 7,3,-4,Punt
06:54,3,02:47,BYU 25,9,54,Downs
02:24,3,01:37,BYU 26,3,-1,Punt
13:56,4,01:14,BYU 44,3,-4,Punt
08:21,4,03:10,BYU 23,10,77,Touchdown
Boise State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:39,BSU 36,7,60,Field Goal
11:07,1,05:34,BSU 24,10,76,Touchdown
04:12,1,02:43,BSU 31,6,5,Fumble
01:29,1,01:33,BYU 13,4,5,Field Goal
14:07,2,00:36,BSU 6,2,94,Touchdown
09:12,2,01:07,BSU 22,3,78,Touchdown
07:47,2,04:08,BSU 23,9,77,Touchdown
01:48,2,00:22,BSU 5,2,-5,Safety
00:54,2,00:12,BYU 24,2,24,Touchdown
12:28,3,00:34,BSU 25,2,2,Interception
11:54,3,02:11,BSU 22,6,35,Punt
08:35,3,01:41,BYU 36,4,36,Touchdown
04:07,3,01:43,BSU 21,3,3,Punt
00:47,3,01:51,BSU 31,3,-6,Punt
12:42,4,04:21,BSU 20,10,80,Touchdown
05:11,4,05:11,BSU 30,8,43,End of Game
