0086007120141004,,86,71
Buffalo Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,09:24,BUFF 25,15,75,Touchdown
02:37,1,02:13,BUFF 15,3,0,Punt
13:53,2,02:24,BUFF 30,5,70,Touchdown
08:46,2,02:04,BUFF 43,4,57,Touchdown
06:42,2,00:18,BGSU 21,1,15,Interception
05:45,2,03:43,BGSU 39,6,39,Touchdown
00:16,2,00:16,BUFF 44,1,-2,End of Half
13:12,3,02:08,BUFF 26,3,8,Punt
08:00,3,00:29,BUFF 15,3,0,Punt
06:51,3,02:10,BUFF 15,3,9,Punt
03:55,3,03:11,50,5,5,Punt
12:36,4,03:58,BUFF 31,9,69,Touchdown
07:26,4,04:22,BUFF 22,10,62,Missed FG
02:11,4,00:43,BGSU 48,4,2,Downs
Bowling Green Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
05:35,1,02:52,BGSU 25,11,75,Touchdown
00:24,1,01:28,BGSU 46,5,40,Field Goal
11:29,2,02:37,BGSU 35,10,65,Touchdown
06:50,2,00:08,BGSU 18,0,3,Fumble
06:24,2,00:39,BGSU 39,3,0,Fumble
01:54,2,01:35,BGSU 36,7,47,Field Goal
14:53,3,01:29,BGSU 43,4,57,Touchdown
11:04,3,02:57,BGSU 22,10,65,Field Goal
07:31,3,00:40,BUFF 47,3,4,Punt
04:41,3,00:46,BGSU 38,3,3,Interception
00:44,3,03:08,BGSU 18,12,54,Missed FG
08:38,4,01:12,BGSU 25,4,16,Punt
03:04,4,00:45,BGSU 20,4,80,Touchdown
01:28,4,01:28,BGSU 47,4,31,End of Game
