0090047220140828,,90,472
Cal Poly Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
09:46,1,04:58,CP 23,11,77,Touchdown
02:56,1,04:18,CP 10,10,43,Interception
08:07,2,01:58,CP 35,4,25,Punt
04:42,2,01:42,CP 42,3,2,Punt
02:31,2,02:11,CP 48,5,45,Field Goal
15:00,3,01:33,CP 28,3,2,Punt
11:52,3,00:02,NMSU 46,1,-6,Fumble
07:04,3,02:43,CP 25,6,23,Punt
00:53,3,02:15,CP 11,5,26,Punt
08:51,4,01:35,CP 9,3,1,Punt
06:11,4,01:31,CP 25,3,6,Punt
00:43,4,00:43,CP 28,3,10,End of Game
New Mexico State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,05:14,NMSU 25,11,75,Touchdown
04:48,1,01:52,NMSU 18,5,26,Punt
13:38,2,05:31,NMSU 37,10,63,Touchdown
06:09,2,01:27,NMSU 11,3,6,Punt
03:00,2,00:29,NMSU 17,3,0,Punt
00:20,2,00:20,NMSU 25,1,-1,End of Half
13:27,3,01:35,NMSU 40,3,5,Interception
11:50,3,04:46,CP 48,10,48,Touchdown
04:21,3,03:28,NMSU 10,7,30,Punt
13:38,4,04:47,NMSU 37,11,63,Touchdown
07:16,4,01:05,CP 45,3,-15,Punt
04:40,4,03:57,NMSU 32,7,40,Downs
