0096006620141206,,96,66
Fresno State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:18,FRES 25,3,4,Punt
12:31,1,03:46,FRES 25,9,35,Interception
05:41,1,03:45,FRES 20,9,29,Interception
01:56,1,02:38,FRES 25,7,57,Missed FG
09:03,2,02:39,FRES 24,3,4,Punt
05:09,2,01:48,FRES 25,3,9,Punt
01:13,2,01:13,FRES 11,3,15,End of Half
11:28,3,08:10,FRES 4,19,96,Touchdown
01:36,3,00:53,FRES 45,3,0,Punt
13:35,4,04:38,FRES 49,11,28,Downs
07:13,4,01:42,BSU 49,7,49,Touchdown
05:31,4,02:03,BSU 41,4,-2,Downs
02:36,4,01:20,FRES 23,7,48,Interception
Boise State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:42,1,01:11,BSU 23,4,77,Touchdown
08:45,1,03:04,BSU 20,7,34,Punt
14:18,2,05:15,BSU 28,11,72,Touchdown
06:24,2,01:15,BSU 29,3,4,Punt
03:21,2,02:08,BSU 32,3,9,Punt
15:00,3,03:32,BSU 14,7,86,Touchdown
03:18,3,01:42,BSU 21,3,-2,Punt
00:43,3,02:08,BSU 8,3,-3,Punt
08:57,4,01:44,BSU 23,3,0,Punt
03:28,4,00:52,BSU 43,3,-1,Punt
01:16,4,01:16,FRES 46,2,-17,End of Game
