0102010720140906,,102,107
Sacramento State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
10:38,1,01:13,SAC 25,3,-3,Fumble
08:07,1,03:02,SAC 25,6,10,Punt
04:47,1,01:18,SAC 15,4,-6,Punt
01:52,1,00:48,SAC 25,3,6,Punt
10:27,2,01:01,SAC 13,3,-5,Punt
08:36,2,01:35,SAC 32,3,-6,Punt
03:40,2,02:52,SAC 25,10,75,Touchdown
14:55,3,02:26,SAC 15,4,12,Punt
10:54,3,01:41,SAC 10,5,90,Touchdown
06:54,3,03:59,SAC 20,9,41,Punt
02:55,3,00:05,CAL 8,1,0,Interception
01:25,3,02:50,SAC 25,7,28,Punt
09:38,4,04:24,SAC 16,8,37,Punt
California Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,04:22,CAL 30,14,70,Touchdown
09:25,1,01:18,SAC 22,3,22,Touchdown
05:05,1,00:13,CAL 40,1,60,Touchdown
03:29,1,01:37,SAC 33,4,33,Touchdown
01:04,1,05:33,CAL 30,12,70,Touchdown
09:26,2,00:44,SAC 40,2,40,Touchdown
07:01,2,03:14,CAL 46,9,39,Field Goal
00:48,2,00:48,CAL 25,6,52,Missed FG
12:29,3,01:35,50,3,0,Punt
09:13,3,02:12,SAC 40,7,11,Field Goal
00:00,3,00:00,CAL 8,0,0,Fumble
02:50,3,01:25,CAL 20,4,80,Touchdown
13:35,4,03:57,CAL 13,6,19,Punt
05:14,4,05:14,CAL 10,8,53,End of Game
