0107075420141004,,107,754
California Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:23,1,02:44,CAL 23,5,15,Punt
09:27,1,01:34,CAL 12,3,-3,Punt
05:17,1,02:33,CAL 18,5,10,Punt
01:35,1,02:11,CAL 32,9,68,Touchdown
10:59,2,02:08,CAL 24,8,63,Field Goal
05:27,2,01:37,CAL 30,3,23,Punt
01:20,2,01:20,CAL 34,11,58,End of Half
15:00,3,00:41,CAL 18,2,82,Touchdown
12:22,3,00:51,CAL 15,4,85,Touchdown
07:37,3,00:13,WSU 0,0,0,Touchdown
04:39,3,00:14,WSU 0,0,0,Touchdown
02:02,3,02:50,CAL 37,8,63,Touchdown
12:35,4,04:01,CAL 5,10,95,Touchdown
04:19,4,01:01,CAL 35,4,65,Touchdown
00:15,4,00:15,CAL 20,1,-5,End of Game
Washington State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:37,WSU 22,4,18,Punt
09:39,1,00:12,WSU 15,1,85,Touchdown
07:53,1,02:36,CAL 45,6,20,Field Goal
02:44,1,01:09,CAL 45,4,-2,Punt
14:24,2,03:25,WSU 15,9,85,Touchdown
08:51,2,03:24,WSU 32,8,68,Touchdown
03:50,2,02:30,WSU 10,8,56,Downs
14:19,3,01:57,WSU 25,6,20,Punt
11:31,3,00:55,WSU 5,2,95,Touchdown
10:36,3,02:59,WSU 45,10,55,Touchdown
07:24,3,02:45,WSU 29,7,71,Touchdown
04:25,3,02:23,WSU 25,6,75,Touchdown
14:12,4,01:37,WSU 39,3,2,Punt
08:34,4,04:15,WSU 31,11,69,Touchdown
03:18,4,03:03,WSU 30,12,68,Missed FG
