0108015620140913,,108,156
UC Davis Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
14:01,1,01:08,UCD 16,3,3,Punt
11:55,1,01:38,UCD 25,3,5,Punt
07:39,1,01:55,UCD 34,5,66,Touchdown
03:51,1,01:47,UCD 24,3,5,Punt
14:55,2,08:35,UCD 20,17,72,Missed FG
04:10,2,03:19,UCD 19,8,40,Punt
00:16,2,00:16,UCD 12,1,-1,End of Half
15:00,3,00:00,UCD 11,0,0,Kickoff
14:56,3,02:16,UCD 19,3,4,Punt
09:02,3,02:59,UCD 17,5,27,Punt
14:45,4,03:10,UCD 14,8,86,Touchdown
10:08,4,03:01,UCD 28,5,13,Punt
05:04,4,03:16,UCD 26,7,74,Touchdown
Colorado State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,00:59,CSU 40,3,7,Punt
12:53,1,00:58,CSU 37,3,63,Touchdown
10:17,1,02:30,CSU 32,7,68,Touchdown
05:36,1,01:39,CSU 29,4,71,Touchdown
02:04,1,02:09,CSU 42,6,42,Missed FG
06:20,2,02:04,CSU 21,6,79,Touchdown
00:51,2,00:35,CSU 20,4,22,Punt
12:40,3,03:38,CSU 33,8,50,Downs
06:03,3,06:13,CSU 9,15,91,Touchdown
11:29,4,01:15,CSU 23,4,77,Touchdown
07:07,4,01:57,CSU 19,5,81,Touchdown
01:41,4,01:41,CSU 28,3,20,End of Game
