0110074620140830,,110,746
UCLA Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:04,UCLA 25,5,48,Missed FG
10:11,1,03:19,UCLA 20,8,23,Punt
03:45,1,01:07,UCLA 32,3,3,PUNT
00:28,1,01:46,UCLA 34,5,20,Punt
12:11,2,01:06,UCLA 28,4,-2,Punt
08:35,2,01:58,UCLA 19,3,6,Punt
00:52,2,00:52,UCLA 21,5,14,End of Half
13:20,3,01:31,UCLA 45,6,14,Fumble
07:33,3,02:11,UCLA 14,7,41,Punt
03:57,3,02:55,UCLA 34,9,66,Touchdown
14:14,4,03:29,UCLA 13,10,52,Fumble
06:47,4,00:52,UCLA 12,3,-3,Punt
03:20,4,03:20,UCLA 17,6,37,End of Game
Virginia Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:56,1,03:45,UVA 27,7,33,Punt
06:52,1,03:07,UVA 23,6,17,Punt
02:38,1,02:10,UVA 24,3,9,Punt
13:42,2,00:07,UVA 20,1,0,Interception
13:35,2,01:24,UVA 25,3,3,Punt
11:05,2,02:30,UVA 29,9,53,Field Goal
06:37,2,03:42,UVA 40,8,35,Fumble
02:55,2,01:35,UVA 25,6,13,Interception
01:20,2,00:28,UVA 25,5,75,Touchdown
15:00,3,01:40,UVA 12,3,2,Punt
11:49,3,04:16,UVA 41,10,59,Touchdown
05:22,3,01:25,UVA 20,3,3,Punt
01:02,3,01:48,UVA 25,3,9,Punt
10:45,4,03:58,UVA 35,12,55,Field Goal
05:55,4,02:35,UCLA 40,7,23,Downs
