0115002720140906,,115,27
Campbell Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:28,CAMP 13,3,3,Punt
11:28,1,04:01,CAMP 22,5,24,Punt
03:55,1,01:53,CAMP 25,3,-9,Punt
14:54,2,01:40,CAMP 18,3,0,Punt
12:07,2,00:54,CAMP 43,2,4,Interception
11:08,2,02:58,CAMP 16,5,8,Punt
06:57,2,01:42,CAMP 48,4,9,Downs
00:58,2,00:58,CAMP 38,3,24,End of Half
13:06,3,03:49,CAMP 1,5,5,Punt
07:50,3,01:27,CAMP 25,3,0,Interception
04:15,3,00:49,CAMP 25,3,0,Interception
01:10,3,04:00,CAMP 14,5,20,Punt
00:00,4,00:00,CAMP 25,0,-16,Fumble
09:55,4,01:50,CAMP 25,3,8,Punt
04:23,4,01:52,CAMP 33,6,11,Punt
Appalachian State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:32,1,01:58,CAMP 25,7,11,Field Goal
07:27,1,03:32,APP 21,10,79,Touchdown
02:02,1,02:08,APP 42,7,58,Touchdown
13:14,2,00:59,APP 48,3,52,Touchdown
11:13,2,00:00,CAMP 0,0,0,Touchdown
08:10,2,00:59,CAMP 44,3,44,Touchdown
05:15,2,04:11,APP 43,13,57,Touchdown
14:51,3,01:45,APP 37,5,20,Punt
09:17,3,01:27,CAMP 39,4,39,Touchdown
06:23,3,02:08,CAMP 42,4,30,Interception
03:26,3,02:07,CAMP 27,5,27,Touchdown
12:10,4,01:35,APP 28,3,-1,Punt
10:35,4,00:40,CAMP 9,2,9,Touchdown
08:05,4,03:42,APP 37,7,30,Downs
02:31,4,02:31,APP 19,4,73,End of Game
