0128028820141002,,128,288
UCF Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:35,1,01:20,UCF 28,4,21,Fumble
09:15,1,02:30,UCF 29,7,36,Punt
02:10,1,02:01,UCF 1,3,2,Punt
13:42,2,01:35,UCF 20,3,9,Punt
12:02,2,02:35,HOU 25,5,25,Touchdown
07:24,2,01:32,UCF 25,4,7,Punt
01:58,2,01:58,UCF 25,4,11,End of Half
15:00,3,02:57,UCF 38,6,13,Fumble
10:36,3,00:09,UCF 48,1,52,Touchdown
10:12,3,01:47,HOU 33,4,8,Field Goal
05:21,3,03:17,UCF 30,6,20,Punt
11:06,4,03:04,UCF 25,5,11,Punt
04:46,4,01:59,UCF 25,3,2,Punt
00:24,4,00:24,UCF 20,1,-1,End of Game
Houston Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:25,HOU 20,3,-5,Punt
12:15,1,03:00,UCF 49,8,27,Field Goal
06:45,1,04:35,HOU 20,11,79,Downs
00:09,1,01:27,UCF 40,3,-7,Punt
12:07,2,00:05,HOU 18,1,0,Interception
09:27,2,02:03,HOU 43,3,-14,Punt
05:52,2,03:54,HOU 19,12,56,Field Goal
12:03,3,01:27,HOU 11,3,8,Punt
10:27,3,00:15,HOU 21,2,0,Interception
08:25,3,03:04,HOU 25,7,27,Punt
02:04,3,05:58,HOU 18,11,49,Field Goal
08:02,4,03:16,HOU 40,7,28,Field Goal
02:47,4,02:23,HOU 38,9,61,Fumble
