0129032820140920,,129,328
Central Michigan Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
14:34,1,01:28,CMU 38,3,0,Punt
10:24,1,00:45,CMU 42,2,-2,Fumble
06:38,1,06:14,CMU 16,11,49,Punt
11:48,2,05:34,CMU 7,11,73,Field Goal
04:15,2,01:41,CMU 23,4,20,Punt
00:32,2,00:26,CMU 9,3,9,Punt
15:00,3,03:11,CMU 25,4,14,Fumble
09:52,3,03:41,CMU 25,7,75,Touchdown
01:32,3,01:10,CMU 20,3,9,Punt
13:23,4,01:59,CMU 25,3,0,Punt
09:46,4,02:33,CMU 18,4,19,Punt
06:03,4,01:37,CMU 26,3,-8,Punt
01:52,4,00:34,CMU 24,4,26,Interception
Kansas Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,00:18,KU 26,1,74,Touchdown
13:06,1,02:42,KU 12,6,11,Punt
09:39,1,03:01,CMU 40,7,21,Interception
00:24,1,03:36,KU 20,8,26,Punt
06:05,2,01:50,KU 33,3,7,Punt
02:34,2,02:02,KU 10,8,15,Punt
00:06,2,00:06,KU 40,1,0,End of Half
11:49,3,01:57,CMU 39,6,29,Field Goal
06:03,3,04:31,KU 32,11,50,Missed FG
00:22,3,01:59,KU 28,6,72,Touchdown
11:24,4,01:38,KU 32,3,1,Punt
07:13,4,01:10,CMU 44,3,3,Punt
04:26,4,02:28,CMU 44,6,44,Touchdown
01:18,4,01:18,KU 47,2,-4,End of Game
