0130070020140830,,130,700
Central Arkansas Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:06,UCA 25,3,5,Punt
12:52,1,05:11,UCA 31,18,58,Field Goal
05:13,1,02:18,UCA 25,5,31,Punt
00:12,1,03:29,UCA 20,12,80,Touchdown
10:44,2,00:06,TTU 2,1,2,Touchdown
07:16,2,02:20,UCA 8,4,11,Punt
03:34,2,02:20,UCA 7,7,22,Punt
00:02,2,00:02,UCA 20,1,-2,End of Half
11:05,3,04:29,UCA 31,14,52,Field Goal
06:20,3,02:36,UCA 29,4,13,Punt
00:38,3,01:47,UCA 21,3,0,Punt
12:58,4,05:11,UCA 25,15,75,Touchdown
05:38,4,02:41,UCA 13,9,87,Touchdown
Texas Tech Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:54,1,01:02,TTU 27,3,-2,Punt
07:41,1,02:28,UCA 43,10,43,Touchdown
02:55,1,02:43,TTU 9,10,80,Interception
11:43,2,00:59,TTU 25,3,-5,Interception
10:38,2,03:22,TTU 37,11,63,Touchdown
04:56,2,01:22,TTU 37,6,63,Touchdown
01:14,2,01:12,TTU 14,9,68,Missed FG
15:00,3,03:55,TTU 32,11,68,Touchdown
06:36,3,00:16,TTU 5,1,-5,Safety
03:44,3,03:06,TTU 20,7,36,Punt
13:51,4,00:53,TTU 15,3,85,Touchdown
07:47,4,02:09,TTU 21,8,79,Touchdown
02:57,4,02:57,TTU 47,8,9,End of Game
