0140069020141129,,140,690
Cincinnati Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:15,1,01:15,CIN 20,3,9,Punt
07:45,1,01:58,CIN 30,6,15,Punt
00:11,1,01:42,CIN 26,3,7,Punt
13:20,2,00:41,TEM 3,2,3,Touchdown
07:58,2,01:35,CIN 20,3,7,Punt
04:58,2,01:24,CIN 32,4,17,Punt
02:05,2,01:37,CIN 37,9,63,Touchdown
15:00,3,02:53,CIN 37,8,29,Punt
07:00,3,00:09,CIN 20,0,-2,Fumble
05:12,3,01:56,CIN 20,5,32,Punt
01:03,3,03:00,CIN 21,6,33,Punt
11:03,4,01:54,TEM 45,4,8,Downs
07:07,4,06:53,CIN 25,11,33,Punt
Temple Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:45,TEM 35,4,17,Punt
12:00,1,04:15,TEM 19,8,31,Punt
05:47,1,05:30,TEM 20,11,68,Field Goal
13:29,2,00:09,TEM 19,1,-14,Fumble
12:32,2,04:34,TEM 17,8,33,Punt
06:23,2,01:25,TEM 27,3,4,Punt
03:34,2,01:29,TEM 23,3,5,Punt
00:23,2,00:23,TEM 33,1,7,End of Half
12:07,3,05:16,TEM 20,14,67,Field Goal
06:51,3,01:39,CIN 18,4,9,Missed FG
03:16,3,02:13,TEM 15,5,31,Punt
13:03,4,02:00,TEM 13,3,1,Punt
09:09,4,02:02,TEM 37,3,5,Punt
00:14,4,00:14,TEM 1,2,3,Fumble
