0141023420140906,,141,234
The Citadel Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:42,CIT 25,6,34,Downs
09:48,1,04:12,CIT 25,8,33,Punt
03:43,1,05:51,CIT 25,11,38,Downs
07:28,2,03:30,CIT 25,6,10,Punt
00:29,2,00:29,CIT 25,2,12,End of Half
11:17,3,03:13,CIT 25,6,27,Punt
06:05,3,04:24,CIT 25,8,22,Fumble
14:48,4,04:36,CIT 24,10,76,Touchdown
04:47,4,04:35,CIT 25,13,75,Touchdown
Florida State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:18,1,02:30,FSU 41,6,59,Touchdown
05:36,1,01:53,FSU 20,6,80,Touchdown
12:52,2,05:24,FSU 37,11,63,Touchdown
03:58,2,03:29,FSU 11,13,89,Touchdown
15:00,3,03:43,FSU 37,9,58,Field Goal
08:04,3,01:59,FSU 20,7,71,Field Goal
01:41,3,01:53,FSU 27,3,9,Punt
10:12,4,05:25,FSU 35,14,58,Field Goal
00:12,4,00:12,FSU 27,1,7,End of Game
