0147006720141018,,147,67
Clemson Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:30,1,01:51,CLEM 32,3,4,Punt
08:11,1,04:28,CLEM 9,9,38,Punt
01:38,1,01:38,CLEM 39,3,7,Punt
13:03,2,01:21,50,4,50,Touchdown
10:12,2,01:40,CLEM 20,3,1,Punt
07:29,2,02:32,CLEM 17,7,31,Punt
03:21,2,03:21,CLEM 25,12,69,Field Goal
15:00,3,01:46,CLEM 18,5,23,Punt
11:41,3,01:21,CLEM 23,3,5,Punt
07:22,3,05:12,CLEM 3,14,54,Punt
00:35,3,02:09,CLEM 19,7,22,Punt
10:59,4,05:11,CLEM 18,6,82,Touchdown
05:48,4,02:23,CLEM 20,3,7,Punt
00:49,4,00:49,CLEM 31,3,-5,End of Game
Boston College Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:30,BC 25,3,-9,Punt
10:39,1,02:28,BC 23,5,12,Punt
03:43,1,02:05,BC 6,3,7,Punt
15:00,2,01:57,BC 20,3,-4,Punt
11:42,2,01:30,CLEM 49,3,3,Punt
08:32,2,01:03,BC 37,3,63,Touchdown
04:57,2,01:36,BC 17,3,1,Punt
13:14,3,01:33,BC 20,3,0,Punt
10:20,3,02:58,BC 36,4,23,Punt
02:10,3,01:35,BC 17,3,8,Punt
13:26,4,02:27,BC 16,7,84,Touchdown
09:35,4,03:47,BC 19,6,14,Punt
03:25,4,02:36,BC 18,10,51,Downs
