0153004720140830,,153,47
Colgate Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:58,1,01:50,COLG 20,5,18,Punt
06:02,1,01:44,COLG 36,3,7,Punt
01:17,1,01:12,COLG 25,3,9,Punt
12:30,2,02:09,COLG 25,3,-5,Punt
08:11,2,04:27,COLG 20,9,80,Touchdown
00:45,2,00:45,COLG 30,1,2,End of Half
15:00,3,01:20,COLG 25,4,11,Punt
09:21,3,01:28,COLG 20,4,9,Downs
06:24,3,02:11,COLG 23,6,22,Punt
01:14,3,01:02,COLG 35,3,8,Punt
14:43,4,02:49,COLG 31,9,50,Field Goal
07:11,4,02:30,COLG 20,5,16,Punt
Ball State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:02,BALL 25,6,18,Punt
11:08,1,05:00,BALL 16,12,63,Field Goal
04:18,1,03:01,BALL 14,8,86,Touchdown
00:05,1,02:35,BALL 14,8,68,Field Goal
10:21,2,02:10,COLG 41,5,13,Interception
03:41,2,02:56,BALL 27,8,73,Touchdown
13:40,3,04:19,BALL 30,8,22,Punt
07:53,3,01:23,COLG 29,4,8,Field Goal
04:13,3,02:59,BALL 10,7,90,Touchdown
00:12,3,00:29,BALL 22,3,2,Punt
11:42,4,04:31,BALL 30,12,56,Missed FG
04:41,4,04:41,BALL 29,8,33,End of Game
