0156006620140906,,156,66
Colorado State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,03:02,CSU 29,8,51,Field Goal
09:12,1,01:00,CSU 25,3,4,Punt
03:56,1,01:53,CSU 25,8,75,Touchdown
13:18,2,00:52,CSU 11,3,3,Punt
11:26,2,01:57,CSU 18,3,7,Punt
04:24,2,01:39,CSU 20,3,8,Punt
01:45,2,00:41,CSU 25,3,2,Interception
12:27,3,05:43,CSU 8,14,86,Fumble
03:54,3,02:52,CSU 23,8,21,Punt
14:19,4,02:04,CSU 20,6,80,Touchdown
10:31,4,03:11,CSU 28,9,72,Touchdown
04:22,4,02:54,CSU 1,10,68,Interception
01:03,4,00:44,CSU 47,4,-5,Downs
Boise State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
11:58,1,02:46,BSU 25,9,75,Touchdown
08:12,1,04:16,BSU 30,12,70,Touchdown
02:03,1,03:45,BSU 10,11,90,Touchdown
12:26,2,01:00,BSU 39,3,0,Punt
09:29,2,05:05,BSU 35,13,58,Interception
02:45,2,01:00,BSU 32,4,68,Touchdown
01:04,2,01:04,50,8,44,End of Half
15:00,3,02:33,BSU 10,4,42,Punt
06:44,3,02:50,BSU 6,8,88,Touchdown
01:02,3,01:43,BSU 20,5,40,Punt
12:15,4,01:44,BSU 25,4,15,Punt
07:20,4,02:58,CSU 46,6,45,Downs
01:28,4,00:25,BSU 15,3,0,Punt
00:19,4,00:19,CSU 42,1,-2,End of Game
