0157002920141108,,157,29
Colorado Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,00:11,COLO 25,1,75,Touchdown
10:53,1,02:35,COLO 3,6,41,Punt
05:53,1,02:58,COLO 43,6,-8,Punt
02:09,1,00:57,COLO 30,3,-8,Fumble
01:12,1,02:09,COLO 25,6,6,Fumble
12:16,2,01:57,COLO 25,6,75,Touchdown
09:37,2,05:28,COLO 40,13,59,Field Goal
02:33,2,00:26,COLO 41,1,-10,Interception
00:11,2,00:10,COLO 35,1,-2,End of Half
12:48,3,05:13,COLO 25,11,60,Field Goal
05:59,3,04:02,COLO 21,8,33,Punt
00:15,3,00:51,COLO 33,3,7,Punt
12:32,4,01:16,COLO 25,5,13,Interception
09:50,4,01:07,COLO 25,3,-10,Punt
05:49,4,00:44,COLO 35,4,8,Downs
Arizona Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
14:49,1,03:56,ARIZ 20,12,77,Downs
08:18,1,02:25,ARIZ 11,8,33,Punt
02:55,1,00:46,ARIZ 25,5,25,Punt
14:03,2,01:47,COLO 31,5,31,Touchdown
10:19,2,00:42,ARIZ 25,4,11,Punt
04:09,2,01:36,ARIZ 25,6,34,Downs
02:07,2,01:56,ARIZ 45,8,55,Touchdown
15:00,3,02:12,ARIZ 25,8,55,Field Goal
07:35,3,01:36,ARIZ 25,3,5,Punt
01:57,3,01:42,ARIZ 12,6,55,Downs
14:24,4,01:52,ARIZ 22,4,23,Punt
11:16,4,01:26,COLO 31,3,31,Touchdown
08:43,4,02:54,ARIZ 40,6,60,Touchdown
05:05,4,05:05,COLO 43,8,23,End of Game
