0164071820141011,,164,718
Connecticut Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,07:58,CONN 25,13,48,Field Goal
04:01,1,02:26,CONN 47,3,5,Punt
14:48,2,01:05,TULN 47,3,6,Punt
09:06,2,00:54,CONN 49,3,2,Interception
06:48,2,03:23,CONN 18,7,52,Fumble
01:17,2,01:17,CONN 9,2,6,End of Half
10:47,3,02:29,CONN 44,5,32,Fumble
04:12,3,00:06,CONN 1,1,-1,Safety
14:21,4,04:08,CONN 25,9,36,Punt
07:12,4,01:34,CONN 44,3,-9,Punt
03:54,4,02:02,CONN 29,7,53,Missed FG
Tulane Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
07:02,1,03:01,TULN 20,6,80,Touchdown
01:35,1,01:47,TULN 15,3,-1,Punt
13:43,2,04:37,TULN 1,6,17,Punt
08:12,2,01:24,TULN 39,3,1,Punt
03:25,2,02:08,TULN 30,6,12,Punt
15:00,3,04:13,TULN 21,7,35,Downs
08:18,3,04:06,TULN 24,7,37,Punt
04:06,3,04:45,TULN 35,11,44,Field Goal
10:13,4,03:01,TULN 3,5,35,Punt
05:38,4,01:44,TULN 30,3,9,Punt
01:52,4,01:52,TULN 20,3,1,End of Game
