0178069020140920,,178,690
Delaware State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,03:11,DSU 25,6,11,Punt
11:49,1,00:49,DSU 25,2,-22,Fumble
10:19,1,04:01,DSU 25,6,19,Punt
06:18,1,00:08,DSU 25,1,0,Interception
02:57,1,01:49,DSU 25,3,6,Punt
01:00,1,01:00,DSU 3,3,-1,Punt
14:13,2,03:28,DSU 21,8,41,Interception
10:39,2,02:35,DSU 23,3,5,Punt
04:10,2,01:21,DSU 20,3,7,Interception
00:55,2,00:55,DSU 18,2,0,End of Half
10:42,3,02:34,DSU 11,3,5,Punt
03:09,3,03:26,DSU 21,4,8,Punt
10:47,4,03:32,DSU 15,6,12,Punt
05:55,4,02:24,DSU 44,3,6,Punt
Temple Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
11:49,1,00:00,DSU 15,0,0,Touchdown
11:00,1,00:41,DSU 3,2,3,Touchdown
06:18,1,00:00,DSU 0,0,0,Touchdown
06:10,1,03:13,TEM 46,9,54,Touchdown
01:08,1,00:08,DSU 41,1,0,Interception
15:00,2,00:38,DSU 35,2,35,Touchdown
10:45,2,00:00,DSU 0,0,0,Touchdown
08:04,2,03:54,TEM 35,9,57,Interception
02:49,2,01:48,DSU 36,5,36,Touchdown
15:00,3,04:18,TEM 35,8,26,Punt
08:08,3,04:52,DSU 35,9,27,Field Goal
14:43,4,03:49,TEM 37,8,63,Touchdown
07:15,4,01:20,TEM 20,3,-2,Punt
03:31,4,03:31,TEM 5,6,22,End of Game
