0193025520141011,,193,255
Duke Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:06,DUKE 25,5,14,Punt
07:15,1,04:40,DUKE 25,11,75,Touchdown
14:13,2,02:14,DUKE 25,4,8,Punt
09:13,2,04:37,DUKE 18,12,82,Touchdown
00:40,2,00:40,DUKE 25,1,3,End of Half
13:38,3,03:10,GT 46,9,46,Touchdown
09:02,3,02:53,DUKE 35,8,50,Field Goal
01:49,3,06:15,DUKE 5,13,70,Downs
09:15,4,00:57,GT 23,3,23,Touchdown
05:04,4,01:45,DUKE 46,5,9,Punt
01:27,4,01:27,DUKE 45,3,-3,End of Game
Georgia Tech Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:54,1,06:39,GT 20,14,70,Field Goal
02:35,1,03:22,DUKE 28,6,20,Field Goal
11:59,2,02:46,GT 30,4,18,Punt
04:36,2,03:56,GT 25,12,75,Touchdown
15:00,3,01:22,GT 25,3,21,Fumble
10:28,3,01:26,DUKE 49,5,14,Missed FG
06:09,3,04:20,GT 29,9,61,Interception
10:34,4,01:19,GT 25,4,12,Interception
08:18,4,03:14,GT 27,9,73,Touchdown
03:19,4,01:52,GT 10,9,89,Touchdown
