0194008620140830,,194,86
Duquesne Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
11:43,1,01:00,DUQ 18,3,3,Punt
07:23,1,01:19,DUQ 10,4,18,Punt
05:02,1,03:46,DUQ 31,7,13,Punt
14:48,2,01:51,DUQ 33,4,7,Fumble
10:49,2,01:40,DUQ 1,3,3,Punt
05:24,2,01:39,DUQ 25,6,13,Punt
03:45,2,01:47,BUFF 29,5,29,Touchdown
15:00,3,03:39,DUQ 25,8,75,Touchdown
08:25,3,01:21,DUQ 7,3,93,Touchdown
05:52,3,01:25,DUQ 11,3,1,Punt
01:46,3,01:51,DUQ 25,6,75,Touchdown
13:28,4,00:32,BUFF 49,3,4,Punt
09:42,4,01:36,DUQ 41,3,0,Punt
01:24,4,01:24,DUQ 27,12,60,End of Game
Buffalo Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,03:11,BUFF 25,8,75,Touchdown
10:43,1,03:13,BUFF 23,7,77,Touchdown
06:04,1,01:02,BUFF 22,3,3,Punt
01:16,1,01:28,BUFF 18,3,6,Punt
12:57,2,02:08,DUQ 40,6,25,Interception
09:09,2,03:45,DUQ 37,9,37,Touchdown
00:00,2,00:00,BUFF 29,0,0,Fumble
01:51,2,01:51,BUFF 22,9,51,Missed FG
11:16,3,02:51,BUFF 31,4,16,Punt
06:56,3,01:04,BUFF 49,3,-1,Punt
04:27,3,02:41,DUQ 35,7,28,Field Goal
14:55,4,01:27,BUFF 25,3,3,Punt
12:56,4,03:06,BUFF 3,9,97,Touchdown
08:06,4,06:34,BUFF 25,16,75,Touchdown
