0196069020141101,,196,690
East Carolina Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,04:15,ECU 14,8,46,Punt
09:16,1,01:56,ECU 45,5,25,Fumble
07:20,1,01:24,ECU 15,4,25,Fumble
02:50,1,02:50,ECU 7,6,45,Punt
13:35,2,01:26,TEM 49,4,-5,Fumble
10:33,2,05:13,ECU 17,15,61,Field Goal
03:31,2,02:37,ECU 9,9,62,Fumble
13:49,3,03:31,ECU 19,11,57,Missed FG
02:48,3,01:03,ECU 32,3,-1,Punt
13:02,4,01:56,ECU 13,8,49,Fumble
08:30,4,01:43,ECU 36,5,11,Downs
05:05,4,02:50,ECU 10,11,90,Touchdown
00:17,4,00:17,ECU 17,1,1,End of Game
Temple Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
10:45,1,01:29,TEM 13,3,1,Punt
05:56,1,03:06,ECU 40,5,40,Touchdown
00:00,1,01:25,TEM 6,3,4,Punt
12:09,2,01:36,ECU 46,3,1,Punt
05:20,2,01:49,TEM 46,3,8,Punt
00:54,2,00:54,TEM 29,4,13,End of Half
15:00,3,01:11,TEM 37,3,5,Punt
10:18,3,05:42,TEM 24,12,76,Touchdown
04:36,3,01:48,ECU 35,4,3,Missed FG
01:45,3,03:43,TEM 18,8,39,Punt
11:06,4,02:36,TEM 38,3,-5,Punt
06:47,4,01:42,ECU 47,3,7,Punt
02:15,4,01:58,TEM 48,3,-7,Fumble
