0201042820140828,,201,428
Eastern Illinois Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:23,1,04:46,EIU 20,11,33,Punt
07:21,1,01:30,MINN 28,4,4,Missed FG
04:19,1,00:49,EIU 17,2,-12,Fumble
01:53,1,01:53,EIU 25,5,15,Punt
10:39,2,04:08,EIU 10,9,38,Punt
01:27,2,01:23,EIU 25,9,34,Downs
15:00,3,01:40,EIU 25,3,-5,Punt
13:20,3,01:50,EIU 25,6,24,Punt
10:35,3,03:10,EIU 20,8,76,Fumble
04:56,3,02:28,EIU 23,8,23,Interception
13:56,4,01:14,EIU 25,3,-5,Punt
11:29,4,04:32,EIU 25,16,75,Touchdown
00:27,4,00:27,MINN 46,3,46,Touchdown
Minnesota Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:37,MINN 29,4,11,Punt
08:37,1,01:16,MINN 27,3,1,Fumble
05:51,1,01:32,MINN 24,3,7,Punt
03:30,1,01:37,EIU 5,3,5,Touchdown
15:00,2,04:21,MINN 28,8,31,Punt
06:31,2,05:04,MINN 10,9,90,Touchdown
00:04,2,00:04,MINN 41,1,-1,End of Half
13:20,3,00:00,EIU 2,0,0,Touchdown
11:30,3,00:55,MINN 48,3,0,Punt
07:25,3,02:29,MINN 4,4,12,Punt
02:28,3,03:32,EIU 47,8,47,Touchdown
12:42,4,01:13,EIU 44,4,44,Touchdown
06:57,4,04:52,MINN 19,8,81,Touchdown
02:05,4,01:37,MINN 25,10,75,Touchdown
