0202023520141122,,202,235
Eastern Kentucky Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:31,EKY 25,3,1,Punt
12:08,1,01:06,EKY 14,4,9,Downs
08:35,1,01:02,EKY 29,3,7,Punt
06:11,1,05:16,EKY 30,13,37,Field Goal
00:33,1,02:33,EKY 24,6,13,Punt
12:51,2,01:22,FLA 8,4,0,Downs
08:53,2,00:08,EKY 26,1,-7,Fumble
08:29,2,01:08,EKY 25,3,-1,Punt
04:40,2,04:24,EKY 25,12,32,Punt
13:50,3,01:34,EKY 20,3,-7,Punt
09:39,3,02:06,EKY 25,3,-5,Punt
06:10,3,03:59,EKY 8,8,57,Downs
14:53,4,01:56,EKY 25,4,16,Punt
11:30,4,01:51,EKY 40,3,-5,Punt
06:18,4,02:23,EKY 16,3,-4,Punt
Florida Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:29,1,01:21,EKY 27,4,-4,Field Goal
11:02,1,02:27,EKY 23,6,23,Touchdown
07:33,1,01:22,FLA 20,3,5,Punt
00:55,1,00:22,FLA 30,1,70,Touchdown
13:00,2,00:09,FLA 39,1,-13,Fumble
11:29,2,02:36,FLA 8,4,24,Punt
08:45,2,00:16,EKY 19,2,19,Touchdown
07:21,2,02:41,FLA 30,6,70,Touchdown
00:16,2,00:16,FLA 15,1,1,End of Half
15:00,3,01:10,FLA 21,3,1,Punt
12:16,3,02:37,FLA 45,7,30,Downs
07:33,3,01:23,FLA 45,4,55,Touchdown
02:11,3,02:18,FLA 35,6,65,Touchdown
12:57,4,01:27,FLA 16,3,4,Punt
09:39,4,03:21,FLA 33,6,67,Touchdown
03:55,4,03:55,EKY 48,5,3,End of Game
