0204077420141115,,204,774
Eastern Michigan Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
14:48,1,02:58,EMU 21,5,34,Punt
07:58,1,02:29,EMU 26,5,6,Punt
04:56,1,02:14,EMU 10,5,21,Interception
01:27,1,01:34,EMU 23,3,6,Punt
12:13,2,02:13,EMU 18,3,5,Punt
05:11,2,01:10,EMU 23,3,7,Punt
00:43,2,00:43,EMU 22,1,1,End of Half
15:00,3,03:03,EMU 25,6,21,Punt
05:39,3,01:36,EMU 23,5,77,Touchdown
01:49,3,06:10,EMU 24,13,63,Downs
05:17,4,01:38,EMU 15,6,80,Fumble
01:20,4,01:08,WMU 49,4,24,Interception
Western Michigan Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,00:12,EMU 0,0,0,Touchdown
11:50,1,03:52,WMU 4,7,96,Touchdown
05:29,1,00:33,WMU 31,2,69,Touchdown
02:42,1,01:15,WMU 23,3,77,Touchdown
14:53,2,02:40,WMU 42,6,58,Touchdown
10:00,2,04:49,WMU 44,9,56,Touchdown
04:01,2,03:18,WMU 31,8,69,Touchdown
11:57,3,06:18,WMU 31,13,55,Field Goal
04:03,3,02:14,WMU 28,3,-5,Punt
10:39,4,05:22,WMU 13,8,28,Punt
03:39,4,02:19,WMU 5,3,6,Punt
00:12,4,00:12,WMU 10,1,-1,End of Game
