0207075620140906,,207,756
Eastern Washington Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
11:34,1,00:07,EWU 21,0,1,Fumble
10:19,1,01:39,EWU 21,3,-4,Punt
07:38,1,02:22,EWU 11,7,89,Touchdown
02:04,1,01:25,EWU 27,5,73,Touchdown
15:00,2,02:54,EWU 35,8,65,Touchdown
11:21,2,03:44,EWU 25,8,75,Touchdown
06:11,2,04:43,EWU 30,12,65,Field Goal
00:31,2,00:31,EWU 2,2,4,End of Half
15:00,3,02:42,EWU 25,7,75,Touchdown
08:05,3,05:19,EWU 25,12,75,Touchdown
14:49,4,02:02,EWU 28,6,56,Fumble
07:36,4,04:22,EWU 20,13,80,Touchdown
Washington Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,03:33,WASH 33,10,67,Touchdown
11:27,1,01:02,EWU 22,3,22,Touchdown
08:40,1,00:52,WASH 34,3,66,Touchdown
05:05,1,02:52,WASH 21,9,59,Field Goal
00:39,1,00:39,WASH 25,3,4,Punt
12:06,2,00:45,WASH 35,3,65,Touchdown
07:29,2,01:18,WASH 37,5,63,Touchdown
01:25,2,00:54,WASH 47,5,15,Punt
12:09,3,04:04,WASH 30,13,70,Touchdown
02:41,3,02:47,EWU 48,9,48,Touchdown
12:47,4,05:02,WASH 35,13,65,Touchdown
03:14,4,03:14,EWU 44,6,17,End of Game
