0228041520140906,,228,415
Florida A&M Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:37,FAMU 11,3,3,Punt
11:27,1,02:45,FAMU 19,3,-2,Punt
06:21,1,02:53,FAMU 20,5,7,Fumble
02:49,1,05:17,FAMU 16,9,39,Punt
10:11,2,01:55,FAMU 21,3,0,Punt
07:15,2,02:11,FAMU 29,3,3,Punt
02:02,2,01:12,FAMU 25,3,3,Punt
00:23,2,00:00,MIA 0,0,0,Touchdown
11:55,3,04:17,FAMU 25,10,44,Missed FG
02:11,3,01:38,FAMU 17,3,2,Punt
13:12,4,01:40,FAMU 20,3,4,Punt
09:41,4,01:36,FAMU 14,3,-5,Punt
04:17,4,00:10,FAMU 17,0,0,Fumble
02:31,4,02:31,FAMU 25,3,6,Punt
Miami (FL) Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:23,1,01:56,FAMU 49,6,49,Touchdown
08:42,1,02:21,FAMU 49,4,20,Interception
03:28,1,00:39,FAMU 13,2,13,Touchdown
12:32,2,02:21,MIA 17,4,83,Touchdown
08:16,2,01:01,FAMU 27,4,-1,Missed FG
05:04,2,03:02,MIA 46,5,54,Touchdown
00:50,2,00:27,MIA 38,4,-38,Fumble
00:23,2,00:23,MIA 25,1,15,End of Half
15:00,3,03:05,MIA 35,6,46,Interception
07:38,3,05:27,MIA 31,11,66,Field Goal
00:33,3,02:21,50,6,35,Missed FG
11:32,4,01:51,MIA 34,3,9,Punt
08:05,4,03:58,FAMU 42,7,42,Touchdown
04:07,4,01:36,FAMU 9,4,3,Field Goal
00:00,4,00:00,MIA 14,0,0,
