0229023120141002,,229,231
Florida Atlantic Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:39,FAU 20,6,16,Fumble
12:21,1,01:53,FIU 34,6,25,Field Goal
07:50,1,01:43,FAU 35,7,28,Punt
02:19,1,02:31,FAU 11,6,7,Fumble
11:35,2,02:06,FAU 15,3,85,Touchdown
07:48,2,01:57,FAU 42,6,49,Fumble
00:46,2,00:46,FAU 13,2,11,End of Half
11:18,3,01:05,FAU 26,3,4,Punt
09:48,3,01:35,FAU 22,4,31,Punt
06:28,3,02:49,FAU 44,6,55,Fumble
03:39,3,02:12,FAU 10,4,8,Punt
14:44,4,02:58,FAU 31,7,50,Interception
08:23,4,02:00,FAU 30,8,11,Downs
01:58,4,01:58,FAU 48,5,22,End of Game
Florida Intl Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
10:28,1,02:38,FIU 30,7,70,Touchdown
06:07,1,03:48,FIU 1,8,38,Punt
14:48,2,03:13,FAU 18,7,18,Touchdown
09:29,2,01:41,FIU 24,3,5,Punt
05:51,2,05:05,FIU 9,11,50,Punt
15:00,3,03:42,FIU 38,9,42,Field Goal
10:13,3,00:25,FIU 30,3,0,Punt
08:13,3,01:45,FIU 16,3,4,Punt
01:27,3,01:43,FIU 33,3,-4,Punt
11:46,4,03:23,FIU 20,10,80,Touchdown
06:23,4,04:25,FAU 41,7,41,Touchdown
