0231052320141108,,231,523
Florida Intl Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:29,1,08:19,FIU 20,16,80,Touchdown
00:18,1,01:56,FIU 28,3,7,Punt
11:19,2,06:50,FIU 30,11,33,Punt
01:37,2,01:30,FIU 26,8,53,Field Goal
14:54,3,02:07,FIU 31,4,69,Touchdown
10:15,3,04:40,FIU 44,10,56,Touchdown
04:53,3,01:53,ODU 28,4,4,Field Goal
00:54,3,02:37,FIU 32,6,68,Touchdown
11:16,4,02:02,FIU 40,3,-1,Punt
05:43,4,01:24,FIU 29,3,8,Punt
00:58,4,00:35,FIU 25,2,1,Interception
Old Dominion Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:31,ODU 20,10,63,Missed FG
04:04,1,03:40,ODU 22,11,78,Touchdown
13:22,2,01:59,ODU 23,6,77,Touchdown
04:29,2,02:45,ODU 1,5,99,Touchdown
00:07,2,00:07,ODU 33,1,-2,End of Half
12:43,3,02:28,ODU 6,6,34,Punt
05:30,3,00:37,ODU 21,2,22,Fumble
02:54,3,01:56,ODU 32,6,68,Touchdown
13:11,4,01:55,ODU 18,3,-5,Punt
09:14,4,03:31,ODU 28,9,43,Downs
04:19,4,03:14,ODU 35,9,65,Touchdown
00:23,4,00:23,FIU 33,4,22,Field Goal
