0234036720141030,,234,367
Florida State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:40,1,03:56,FSU 2,10,35,Punt
06:41,1,01:31,FSU 31,3,-1,Punt
03:10,1,02:11,FSU 34,5,24,Punt
12:13,2,04:37,FSU 12,12,39,Interception
05:11,2,00:11,FSU 20,1,0,Interception
02:09,2,01:36,FSU 22,6,78,Touchdown
15:00,3,00:17,FSU 25,1,0,Interception
14:43,3,01:15,FSU 40,4,9,Downs
11:22,3,01:31,FSU 26,3,74,Touchdown
08:33,3,02:16,FSU 20,5,80,Touchdown
04:29,3,03:26,FSU 37,10,39,Missed FG
13:36,4,00:48,FSU 35,4,65,Touchdown
09:20,4,03:25,FSU 30,9,26,Punt
03:55,4,00:09,LOU 38,1,38,Touchdown
02:37,4,00:26,LOU 39,3,39,Touchdown
00:51,4,00:51,FSU 38,2,-6,End of Game
Louisville Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:20,LOU 25,5,73,Downs
08:44,1,02:03,LOU 5,5,20,Punt
05:10,1,02:00,LOU 16,4,19,Punt
00:59,1,03:46,LOU 20,7,80,Touchdown
07:36,2,02:25,LOU 48,5,52,Touchdown
05:00,2,02:51,FSU 43,6,43,Touchdown
00:33,2,00:33,LOU 18,1,5,End of Half
13:28,3,02:06,FSU 49,6,33,Field Goal
09:51,3,01:18,LOU 25,4,27,Punt
06:17,3,01:48,LOU 25,3,7,Punt
01:03,3,02:27,LOU 24,5,16,Punt
12:48,4,03:28,LOU 23,6,77,Touchdown
05:55,4,02:00,LOU 12,3,-1,Punt
03:46,4,01:09,LOU 17,5,22,Downs
02:11,4,01:20,LOU 25,7,24,Interception
