0235000820140920,,235,8
Florida Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:01,FLA 25,3,4,Punt
13:47,1,01:29,FLA 23,5,12,Punt
12:09,1,00:43,ALA 31,3,31,Touchdown
05:46,1,01:23,FLA 28,3,2,Punt
04:12,1,03:05,FLA 36,7,25,Interception
13:12,2,01:14,ALA 35,3,-4,Punt
10:18,2,00:36,FLA 49,2,7,Fumble
07:19,2,01:45,FLA 14,5,15,Punt
01:44,2,01:44,FLA 20,3,8,End of Half
13:20,3,00:38,ALA 16,2,16,Touchdown
05:27,3,01:59,FLA 35,3,8,Punt
00:21,3,01:29,FLA 17,4,30,Interception
10:10,4,01:36,FLA 20,7,31,Downs
03:00,4,02:02,FLA 8,5,25,Punt
Alabama Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:59,1,00:12,ALA 13,1,87,Touchdown
12:18,1,00:09,ALA 24,1,7,Fumble
11:26,1,02:02,ALA 22,4,33,Fumble
09:24,1,03:38,ALA 20,9,52,Missed FG
04:23,1,00:11,ALA 21,1,79,Touchdown
01:07,1,02:55,ALA 13,8,22,Fumble
11:58,2,01:40,ALA 12,3,9,Punt
09:42,2,02:23,ALA 44,6,56,Touchdown
05:34,2,03:50,ALA 17,8,26,Punt
15:00,3,01:40,ALA 25,4,14,Interception
12:42,3,07:15,ALA 34,16,66,Touchdown
03:28,3,03:07,ALA 20,8,80,Touchdown
13:52,4,03:42,ALA 40,8,60,Touchdown
08:34,4,05:34,ALA 49,9,42,Downs
00:58,4,00:58,ALA 20,2,-1,End of Game
