0236072520141122,,236,725
Fordham Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:48,FOR 30,7,47,Field Goal
08:07,1,04:12,FOR 5,7,37,Punt
02:44,1,06:13,FOR 20,15,80,Touchdown
09:16,2,04:14,FOR 25,10,47,Interception
01:14,2,01:09,FOR 10,3,-2,Punt
00:00,2,00:00,FOR 35,0,0,
11:02,3,01:42,FOR 19,4,29,Punt
13:07,4,00:13,FOR 35,1,65,Touchdown
06:36,4,01:18,FOR 32,4,68,Touchdown
02:20,4,02:05,FOR 20,7,80,Touchdown
Army Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:02,1,03:55,ARMY 49,7,11,Punt
03:55,1,01:11,ARMY 33,3,9,Punt
11:31,2,02:11,ARMY 25,5,75,Touchdown
05:02,2,03:48,ARMY 27,7,27,Punt
00:05,2,00:00,FOR 0,0,0,Touchdown
14:54,3,03:45,ARMY 35,8,65,Touchdown
09:20,3,11:13,ARMY 16,20,84,Touchdown
12:50,4,06:08,ARMY 25,10,75,Touchdown
05:15,4,02:20,FOR 38,6,38,Touchdown
00:13,4,00:13,FOR 44,2,41,End of Game
