0244064820141018,,244,648
Furman Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:45,FUR 21,5,19,Punt
09:14,1,01:45,FUR 25,4,75,Touchdown
05:29,1,02:05,FUR 25,3,9,Punt
02:01,1,00:59,SCAR 26,3,15,Fumble
13:41,2,07:41,FUR 25,12,59,Missed FG
03:40,2,00:18,FUR 48,1,-13,Fumble
02:32,2,01:52,FUR 25,5,16,Punt
13:13,3,03:20,FUR 47,8,41,Field Goal
07:17,3,00:14,FUR 25,1,0,Interception
05:17,3,02:51,FUR 25,5,9,Punt
12:41,4,03:06,FUR 25,5,14,Punt
06:00,4,03:09,FUR 33,7,21,Punt
00:18,4,00:18,FUR 15,1,17,End of Game
South Carolina Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:15,1,03:01,SCAR 8,8,92,Touchdown
07:29,1,02:00,SCAR 25,5,75,Touchdown
03:24,1,01:23,SCAR 37,3,-11,Fumble
01:02,1,02:21,SCAR 11,8,89,Touchdown
06:00,2,02:20,SCAR 20,3,-5,Punt
03:22,2,00:50,FUR 28,3,28,Touchdown
00:40,2,00:40,SCAR 15,4,43,End of Half
15:00,3,01:47,SCAR 25,6,28,Fumble
09:53,3,02:36,SCAR 16,8,84,Touchdown
07:03,3,01:46,FUR 36,5,27,Field Goal
02:26,3,04:45,SCAR 33,9,62,Field Goal
09:35,4,03:35,SCAR 18,6,14,Punt
02:51,4,02:33,SCAR 20,5,22,Punt
