0253047220141004,,253,472
Georgia Southern Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:11,1,02:07,GASO 40,5,20,Punt
07:38,1,01:17,GASO 17,3,6,Punt
03:27,1,03:20,GASO 42,7,36,Fumble
13:08,2,02:16,GASO 30,3,-9,Kickoff
09:14,2,03:02,GASO 29,7,71,Touchdown
05:15,2,02:52,NMSU 23,8,18,Field Goal
00:29,2,00:27,GASO 45,5,28,Field Goal
14:55,3,03:18,GASO 27,10,73,Touchdown
10:06,3,04:21,GASO 29,10,58,Field Goal
03:54,3,02:21,NMSU 44,6,44,Touchdown
14:09,4,02:27,GASO 24,5,28,Punt
10:25,4,02:13,NMSU 47,3,1,Punt
03:55,4,01:21,NMSU 48,4,48,Touchdown
00:19,4,00:19,NMSU 45,1,0,End of Game
New Mexico State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:49,NMSU 29,5,31,Fumble
11:04,1,03:19,NMSU 1,11,99,Touchdown
06:21,1,02:45,NMSU 45,9,55,Touchdown
00:07,1,01:59,NMSU 22,8,48,Downs
10:52,2,01:38,GASO 30,4,1,Downs
06:12,2,00:57,NMSU 25,4,24,Interception
02:23,2,01:54,NMSU 25,8,49,Interception
11:37,3,01:31,NMSU 25,3,9,Punt
05:40,3,01:46,NMSU 21,6,25,Interception
01:26,3,02:17,NMSU 31,5,16,Punt
11:42,4,01:17,NMSU 16,3,5,Punt
08:12,4,04:14,NMSU 20,13,80,Touchdown
02:29,4,02:09,NMSU 20,13,80,Touchdown
