0254014720141122,,254,147
Georgia State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,03:08,GAST 21,6,6,Punt
09:53,1,00:59,GAST 19,3,5,Punt
08:27,1,00:52,GAST 6,3,3,Punt
06:01,1,03:26,GAST 32,8,41,Interception
00:56,1,02:42,GAST 25,6,7,Punt
09:08,2,00:56,GAST 19,3,-2,Punt
08:12,2,01:24,CLEM 49,3,-4,Interception
04:28,2,02:07,GAST 24,7,26,Interception
00:29,2,00:29,GAST 16,1,-1,End of Half
13:07,3,03:35,GAST 15,6,19,Punt
06:30,3,05:25,GAST 21,10,25,Downs
14:01,4,01:41,GAST 39,3,0,Punt
08:38,4,01:26,GAST 22,3,7,Punt
05:38,4,01:03,GAST 32,3,-1,Punt
00:29,4,00:29,GAST 9,1,-1,End of Game
Clemson Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
11:52,1,01:59,CLEM 21,5,16,Punt
08:54,1,00:27,GAST 49,2,12,Interception
07:35,1,01:30,GAST 30,5,30,Touchdown
02:35,1,01:32,GAST 26,4,26,Touchdown
13:14,2,04:06,CLEM 13,8,35,Punt
00:00,2,00:00,CLEM 49,0,0,Fumble
06:48,2,02:12,GAST 47,6,47,Touchdown
02:21,2,01:47,CLEM 47,8,53,Touchdown
15:00,3,01:53,CLEM 25,5,12,Punt
09:32,3,03:02,CLEM 22,7,21,Punt
01:05,3,02:04,GAST 46,6,7,Downs
12:20,4,03:42,CLEM 28,9,50,Missed FG
07:12,4,01:34,CLEM 33,3,5,Punt
04:35,4,04:06,GAST 47,9,38,Downs
