0255049020141108,,255,490
Georgia Tech Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
14:04,1,03:30,GT 44,7,56,Touchdown
07:39,1,03:02,GT 26,6,45,Fumble
01:45,1,01:43,GT 25,4,75,Touchdown
04:02,2,03:34,NCST 48,9,48,Touchdown
15:00,3,04:11,GT 25,8,75,Touchdown
09:35,3,06:12,GT 21,12,79,Touchdown
02:24,3,07:13,GT 35,14,65,Touchdown
07:05,4,07:05,GT 25,12,72,End of Game
NC State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,00:56,NCST 20,3,-1,Punt
10:34,1,02:55,NCST 25,9,77,Touchdown
04:37,1,02:52,NCST 29,12,71,Touchdown
00:02,1,05:13,NCST 25,14,70,Interception
09:49,2,00:23,NCST 28,2,14,Interception
09:26,2,02:14,NCST 38,6,5,Fumble
07:12,2,03:10,NCST 26,3,-2,Punt
00:28,2,00:28,NCST 31,3,40,End of Half
10:49,3,01:14,NCST 28,3,2,Punt
03:23,3,00:59,NCST 22,3,4,Punt
10:11,4,03:06,NCST 25,6,75,Touchdown
