0257033420141108,,257,334
Georgia Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,00:11,UK 0,0,0,Touchdown
12:58,1,04:29,UGA 31,10,68,Touchdown
06:48,1,01:51,UGA 9,6,91,Touchdown
09:46,2,03:12,UGA 29,7,71,Touchdown
05:55,2,01:51,UGA 26,6,74,Touchdown
00:16,2,00:16,UGA 35,1,0,End of Half
14:55,3,01:59,UK 36,5,36,Touchdown
07:18,3,05:23,UGA 5,12,95,Touchdown
13:37,4,03:48,UGA 15,8,85,Touchdown
03:22,4,03:22,UGA 44,5,29,End of Game
Kentucky Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
14:49,1,01:51,UK 24,3,9,Punt
08:29,1,00:00,UK 29,4,0,Kickoff
04:57,1,06:24,UK 26,16,74,Touchdown
13:33,2,03:47,UGA 23,8,2,Field Goal
06:34,2,00:39,UK 25,3,75,Touchdown
04:04,2,03:48,UK 25,12,75,Touchdown
15:00,3,00:05,UK 25,1,0,Interception
12:56,3,01:47,UK 15,3,0,Punt
11:09,3,03:51,UK 30,7,26,Punt
01:55,3,03:18,UK 20,6,21,Punt
09:49,4,06:27,UK 37,15,63,Touchdown
