0261028820140906,,261,288
Grambling State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
14:22,1,02:30,GRAM 20,8,29,Punt
08:29,1,03:18,GRAM 17,7,19,Interception
03:04,1,02:34,GRAM 25,6,-5,Punt
12:06,2,01:20,GRAM 12,3,6,Punt
09:51,2,00:10,GRAM 17,0,-3,Fumble
09:32,2,02:30,GRAM 26,5,33,Punt
04:09,2,01:29,GRAM 20,3,4,Punt
01:37,2,01:37,GRAM 25,3,-9,End of Half
15:00,3,04:23,GRAM 28,9,71,Downs
08:50,3,01:03,HOU 44,3,11,Interception
07:00,3,00:50,GRAM 19,3,2,Punt
02:18,3,01:41,GRAM 30,3,3,Punt
00:37,3,00:37,HOU 15,2,-15,Interception
12:24,4,03:39,GRAM 15,5,3,Punt
04:59,4,01:29,GRAM 1,3,-1,Fumble
03:30,4,01:36,GRAM 25,3,22,Fumble
Houston Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,00:38,HOU 20,2,80,Touchdown
11:52,1,03:23,HOU 11,9,42,Punt
05:11,1,02:07,GRAM 45,6,20,Field Goal
00:30,1,03:24,HOU 39,10,40,Field Goal
10:46,2,01:05,HOU 27,3,73,Touchdown
09:41,2,00:09,GRAM 7,1,7,Touchdown
07:02,2,02:53,HOU 2,7,98,Fumble
02:40,2,01:03,GRAM 13,3,13,Touchdown
10:37,3,01:47,HOU 1,3,1,Punt
07:47,3,00:47,GRAM 17,4,-1,Field Goal
06:10,3,03:52,50,10,46,Field Goal
00:00,3,00:00,HOU 18,0,-3,Fumble
15:00,4,02:36,HOU 43,3,3,Punt
08:45,4,03:46,HOU 38,6,61,Downs
03:30,4,00:00,GRAM 0,0,0,Touchdown
01:54,4,01:54,GRAM 47,3,13,End of Game
