0270052320140830,,270,523
Hampton Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,03:18,HAMP 19,6,15,Punt
08:02,1,08:49,HAMP 25,16,75,Touchdown
11:40,2,01:01,HAMP 28,3,-4,Punt
06:57,2,00:53,HAMP 20,3,1,Interception
05:52,2,01:27,HAMP 28,3,-7,Punt
01:17,2,01:17,HAMP 38,11,62,Touchdown
13:14,3,00:59,HAMP 47,3,53,Touchdown
08:06,3,02:20,HAMP 46,3,3,Punt
01:22,3,00:34,HAMP 15,4,22,Fumble
13:34,4,00:58,HAMP 8,3,92,Touchdown
12:32,4,04:08,ODU 35,8,23,Fumble
06:15,4,03:51,HAMP 30,9,60,Fumble
Old Dominion Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
11:42,1,03:40,ODU 34,11,66,Touchdown
14:08,2,02:28,ODU 18,6,29,Punt
10:39,2,03:36,ODU 33,8,67,Touchdown
06:04,2,00:07,HAMP 31,1,31,Touchdown
04:25,2,03:01,HAMP 40,7,40,Touchdown
15:00,3,01:38,ODU 25,4,75,Touchdown
12:15,3,04:01,ODU 35,10,65,Touchdown
05:46,3,04:24,ODU 20,10,36,Interception
00:48,3,02:14,HAMP 37,7,21,Interception
08:24,4,02:09,ODU 12,6,14,Punt
02:24,4,02:24,ODU 10,6,47,End of Game
