0277057420141004,,277,574
Hawaii Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:58,1,01:25,HAW 35,3,0,Punt
12:33,1,02:59,RICE 34,9,19,Downs
07:23,1,02:48,HAW 32,7,68,Touchdown
00:57,1,02:26,HAW 20,8,43,Interception
12:04,2,01:18,HAW 20,3,8,Punt
08:41,2,02:58,RICE 31,7,11,Missed FG
04:41,2,02:15,HAW 27,5,13,Punt
00:00,2,00:00,HAW 40,0,0,
15:00,3,02:37,HAW 25,4,17,Punt
12:15,3,02:51,RICE 36,6,36,Touchdown
08:13,3,01:14,HAW 39,3,-8,Fumble
04:45,3,01:09,HAW 22,3,4,Punt
00:19,3,02:52,HAW 25,5,21,Punt
09:46,4,01:37,HAW 32,4,16,Punt
04:18,4,01:23,HAW 34,5,23,Downs
00:12,4,00:12,HAW 18,1,0,End of Game
Rice Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:02,RICE 25,3,2,Punt
00:00,1,00:00,RICE 34,0,0,Fumble
09:34,1,02:11,RICE 15,3,-5,Punt
04:35,1,03:38,RICE 27,6,26,Punt
13:31,2,01:27,HAW 42,3,1,Punt
10:46,2,02:05,RICE 29,4,18,Interception
05:43,2,01:02,RICE 20,3,80,Touchdown
02:26,2,02:26,RICE 16,12,44,Downs
12:23,3,00:08,RICE 27,1,9,Fumble
09:24,3,01:11,RICE 41,3,4,Punt
06:59,3,02:14,HAW 31,4,9,Downs
03:36,3,03:17,RICE 39,7,61,Touchdown
12:27,4,02:41,RICE 10,4,16,Punt
08:09,4,03:51,RICE 21,7,79,Touchdown
02:55,4,02:43,RICE 43,7,57,Touchdown
